scope,arm,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
all,band,oos,DOGE,24,8,1356,0.551622418879056,14.982118482349557,0.16053532923579575,93.3259896975306,8,0.08043451242237028,0
all,band,full,ETH,24,8,4030,0.5962779156327543,487666.0672053229,0.15566888054354144,3132713.908538194,11,0.10716031981309389,0
all,band,is,ETH,24,8,2634,0.6245254365983295,34893.06869981351,0.1348097977933198,258831.8450956282,11,0.10716031981309389,0
all,band,oos_warm,ETH,24,8,1396,0.5429799426934098,12.975643580019948,0.15566888054354128,83.35412662256927,9,0.08874958305330526,0
all,band,oos,ETH,24,8,1338,0.531390134529148,7.947089687093316,0.15566888054354094,51.051241965284746,8,0.07593724332490358,0
all,band,full,LINK,24,8,4044,0.6006429277942631,573129.5639635174,0.1625884005311764,3525033.5330878636,11,0.10791249192128076,0
all,band,is,LINK,24,8,2622,0.6228070175438597,25173.502844634608,0.1625884005311764,154829.63583129397,11,0.10791249192128076,0
all,band,oos_warm,LINK,24,8,1422,0.559774964838256,21.766311116474313,0.14973038712646713,145.37003165623142,10,0.09759820152419395,0
all,band,oos,LINK,24,8,1363,0.5524578136463683,14.582840534146776,0.14973038712646802,97.39399472619776,8,0.0755068640220185,0
all,band,full,LTC,24,8,4082,0.6004409603135717,757328.255059641,0.1334244538009217,5676082.858016612,12,0.11359069619721218,0
all,band,is,LTC,24,8,2659,0.6220383602858217,31662.871550934142,0.1334244538009217,237309.3585841265,11,0.11000131073064061,0
all,band,oos_warm,LTC,24,8,1423,0.5600843288826423,22.917771831578143,0.11955697206381433,191.68912892295089,12,0.11359069619721217,0
all,band,oos,LTC,24,8,1350,0.5474074074074075,13.124879389447067,0.11955697206381401,109.77928901077898,8,0.0804345124223703,0
all,band,full,SOL,24,8,3966,0.5993444276348966,323705.06760249817,0.15950897460965496,2029384.6687602275,11,0.10790157069274138,0
all,band,is,SOL,24,8,2575,0.6240776699029126,19902.88827151173,0.1502745392513658,132443.5155194185,11,0.10790157069274138,0
all,band,oos_warm,SOL,24,8,1391,0.5535585909417685,15.263458837126615,0.15950897460965538,95.69028247143336,11,0.10686383428774722,0
all,band,oos,SOL,24,8,1344,0.5431547619047619,10.163096121669255,0.15950897460965482,63.71488592751633,8,0.08043451242237029,0
all,band,full,TRX,24,8,4064,0.5952263779527559,508757.2122266981,0.14295233589437056,3558928.9887688565,12,0.113592448003291,0
all,band,is,TRX,24,8,2620,0.6156488549618321,20198.836633541716,0.14295233589437056,141297.7025325904,10,0.10010828213231346,0
all,band,oos_warm,TRX,24,8,1444,0.5581717451523546,24.186253802761318,0.13649347339923698,177.19714503870574,12,0.11359244800329103,0
all,band,oos,TRX,24,8,1369,0.545653761869978,13.86986040139815,0.1364934733992359,101.61555754999047,8,0.08011223213683974,0
all,band,full,XRP,24,8,4080,0.5946078431372549,394191.87412783725,0.14206562412423973,2774716.801181313,12,0.1135906961972122,0
all,band,is,XRP,24,8,2641,0.6134040136312003,15857.76261359064,0.12660049769063172,125258.29600087025,11,0.10790157069274137,0
all,band,oos_warm,XRP,24,8,1439,0.5601111883252259,23.856471071079724,0.1420656241242398,167.92571192462907,12,0.11359069619721218,0
all,band,oos,XRP,24,8,1367,0.5479151426481346,13.846234817366337,0.1420656241242395,97.4636538763065,8,0.08011223213683977,0
1h,off,full,,9,9,2217,0.5926928281461434,641.7856372420684,0.11228275127520859,5715.798998093941,6,0.05,0
1h,off,is,,9,9,1447,0.6164478230822391,153.7375063288934,0.11228275127520859,1369.1996729940995,6,0.05,0
1h,off,oos_warm,,9,9,770,0.548051948051948,3.1540390076846228,0.07902928141698418,39.90975181772042,4,0.04,0
1h,off,oos,,9,9,756,0.5436507936507936,2.756864874779375,0.07902928141698401,34.88409391239768,4,0.039999999999999994,0
1h,off,full,BNB,8,8,1997,0.5908863294942414,312.40247178312165,0.11101662396719983,2814.0152404150017,6,0.049098005507091244,0
1h,off,is,BNB,8,8,1305,0.6114942528735632,83.05692849690406,0.11101662396719983,748.148570266769,6,0.049098005507091244,0
1h,off,oos_warm,BNB,8,8,692,0.5520231213872833,2.7284549576976795,0.07796589687317793,34.99549247969122,4,0.035700666572401694,0
1h,off,oos,BNB,8,8,678,0.5471976401179941,2.3711134062355383,0.0779658968731775,30.412186626833627,4,0.035700666572401694,0
1h,off,full,BTC,8,8,1963,0.5904228222109017,324.8588271936971,0.13081465413201795,2483.351955858478,5,0.044466988614341216,0
1h,off,is,BTC,8,8,1278,0.6111111111111112,81.7740301190763,0.13081465413201795,625.1136821150792,5,0.044466988614341216,0
1h,off,oos_warm,BTC,8,8,685,0.5518248175182482,2.93672782060903,0.07796589687317743,37.666825347831676,4,0.04,0
1h,off,oos,BTC,8,8,671,0.5469448584202683,2.5602531473805743,0.07796589687317748,32.838115766758726,4,0.04,0
1h,off,full,DOGE,8,8,1985,0.5909319899244333,271.0509515863219,0.09735475157184054,2784.1573956080256,6,0.049999999999999996,0
1h,off,is,DOGE,8,8,1304,0.6104294478527608,70.41802804242833,0.09735475157184054,723.3137253754388,6,0.049999999999999996,0
