symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold,real_mean_net_r,random_mean_net_r,real_taps,real_invalidation_taps,fake_taps,fake_invalidation_taps
BNB/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.0011082388460192,71,71,0,390,365,1460,4,-0.020371899070745,-0.13529008816283,0.106295686735855,0.37,200,0,0.1131613705228808,-0.0162226424768573,-0.0473184293003129,958,102,3854,481
XRP/USDT:USDT,4h,is,baseline,False,0.024011138630728,143,143,0,864,268,1072,4,-0.0689229693980811,-0.2219273650096161,0.1292225299160083,0.14,200,0,1.4945366248482397,0.0274874158503119,-0.0678684084603535,782,120,2984,476
XRP/USDT:USDT,4h,is,pen_5bp,False,-0.0258068004763919,144,144,0,855,268,1072,4,-0.0920382440592273,-0.2455064983626401,0.0944193638732778,0.195,200,0,1.4945366248482397,-0.0137101115935549,-0.093920952800901,782,120,2984,476
XRP/USDT:USDT,4h,oos_warm,baseline,False,-0.1141317544425306,57,57,0,350,394,1576,4,0.0088038277925257,-0.0956647029023621,0.1210807319394503,1.0,200,0,0.8586072242108689,-0.2312366066698568,0.0239302823616573,1097,163,4276,649
XRP/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.1266837897663506,56,56,0,350,394,1576,4,-0.000199212183323,-0.1006603829791549,0.1227763254981713,0.995,200,0,0.8586072242108689,-0.2616060407174845,-0.0059423779556492,1097,163,4276,649
TRX/USDT:USDT,4h,is,baseline,False,0.1420154880208945,121,121,0,725,246,984,4,0.0058056073248697,-0.1798411943579811,0.2014337547242179,0.085,200,0,3.2390651085141897,0.113632915090014,-0.0034768579566053,701,86,2858,335
TRX/USDT:USDT,4h,is,pen_5bp,False,0.1206061804284596,119,119,0,717,246,984,4,-0.0181357103048811,-0.2059249247375442,0.123455514603439,0.035,200,0,3.2390651085141897,0.0927341577395778,-0.0359360022540697,701,86,2858,335
TRX/USDT:USDT,4h,oos_warm,baseline,False,-0.0680469767999087,67,67,0,318,375,1500,4,-0.0478936158418844,-0.1429032172876901,0.0489528283855052,0.65,200,0,1.5987361769352293,-0.1299999097540425,-0.1652363874483843,961,116,3901,459
TRX/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.0774532861358668,68,68,0,311,375,1500,4,-0.0548942588650601,-0.1616572105042007,0.0688551305361081,0.64,200,0,1.5987361769352293,-0.1484099613475972,-0.1788688998830894,961,116,3901,459
DOGE/USDT:USDT,4h,is,baseline,False,0.2160296309918236,134,134,0,740,236,944,4,-0.0078311066711508,-0.1582876348688774,0.1632662827834649,0.01,200,0,37.374419435512685,0.1459630081419384,0.0042400331006606,679,89,2723,362
DOGE/USDT:USDT,4h,is,pen_5bp,False,0.1871257313212017,134,134,0,734,236,944,4,-0.0334288786626569,-0.1938245808714306,0.1238649116633592,0.01,200,0,37.374419435512685,0.1273446434686286,-0.0299251684489739,679,89,2723,362
DOGE/USDT:USDT,4h,oos_warm,baseline,False,0.0002723292808877,67,67,0,361,359,1436,4,-0.0264874628393356,-0.1367004022284347,0.1256385405998973,0.315,200,0,-0.3078882808076996,0.0322621427898105,-0.0554279422209281,1060,126,4038,518
DOGE/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.0018882799628008,66,66,0,360,359,1436,4,-0.0492750234165613,-0.1701339608974574,0.0933811543826714,0.19,200,0,-0.3078882808076996,0.0133546962718807,-0.1122421403089902,1060,126,4038,518
LINK/USDT:USDT,4h,is,baseline,False,-0.2902332402265147,136,136,0,860,248,992,4,-0.1804441910122017,-0.313913038869533,-0.0132367181924861,0.945,200,0,-0.1082987551867221,-0.258291803329939,-0.195121679474469,709,77,2779,322
LINK/USDT:USDT,4h,is,pen_5bp,False,-0.3246507220027753,134,134,0,852,248,992,4,-0.2097985532500907,-0.3515437735165174,-0.040672999394458,0.945,200,0,-0.1082987551867221,-0.30163056011797,-0.2459461231169514,709,77,2779,322
