sizing,scope,universe,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,liquidations
risk_pct,pooled,15m_3sym,ALL,ALL,oos,peak_N,8.0,1.28873691826924,0.5143198090692124,0.27483912928287035,838,0.5061074918566775,0.28579952267303105,16.015514068219233,7,7.67791962849111,0.07,0.0,0.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,is,single,1.0,0.42293373686247615,0.5111111111111111,0.12415397304428329,315,0.4918032786885246,0.27388535031847133,10.116522005502283,1,1.0000000000000002,0.010000000000000002,126.0,0.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,is,lev_1,1.0,0.3666512355951498,0.4920273348519362,0.18327300194490675,439,0.4918032786885246,0.2271689497716895,6.872330012903958,4,1.0000000000000002,0.04026263014955476,203.0,35.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,is,lev_2,2.0,0.6730876548400312,0.5042918454935622,0.18399944941123927,466,0.4918032786885246,0.25806451612903225,9.218971149941124,5,2.0,0.05016331878444308,76.0,7.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,is,lev_3,3.0,0.8328823425304738,0.5042553191489362,0.16830941873674968,470,0.4918032786885246,0.2579957356076759,10.378749664826072,5,3.0000000000000004,0.05033478627776872,22.0,1.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,is,peak_N,5.0,0.8947829641930529,0.505307855626327,0.16467103699498006,471,0.4918032786885246,0.26063829787234044,10.832622503202419,5,5.0,0.050318352571938035,2.0,0.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,oos,single,1.0,0.3038703949371893,0.5416666666666666,0.06116619756377014,144,0.47393364928909953,0.3541666666666667,16.056167653757946,1,1.0000000000000002,0.010000000000000002,54.0,0.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,oos,lev_1,1.0,0.20479191273452124,0.4928909952606635,0.09386374429312794,211,0.47393364928909953,0.23222748815165878,8.429403330075527,4,1.0000000000000002,0.03693393093088087,103.0,30.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,oos,lev_2,2.0,0.20654125825349,0.4782608695652174,0.12267956439282698,230,0.47393364928909953,0.1956521739130435,6.9686367815484855,6,2.0000000000000004,0.06000000000000001,38.0,6.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,oos,lev_3,3.0,0.1948849250647254,0.47435897435897434,0.13850524675134296,234,0.47393364928909953,0.1858974358974359,6.3526427968957355,6,3.0000000000000004,0.06,8.0,1.0,0.0
risk_pct,pooled,1h_3sym,ALL,ALL,oos,peak_N,5.0,0.1512944921689512,0.4723404255319149,0.16113491755525203,235,0.47393364928909953,0.18085106382978725,5.0910277476315615,6,5.0,0.060000000000000005,2.0,0.0,0.0
