timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,death_rate,ambiguous_rate,winner_rate,mean_r
15m,oos,rsi_slope_5_3,Q3,3,-1.939484331333297,10.673255941308021,856,0.13901869158878505,0.3130841121495327,0.5478971962616822,0.3697429906542056
15m,oos,rsi_slope_10_5,Q1,1,-20.771574144669728,-5.061352563999364,856,0.13551401869158877,0.2932242990654206,0.5712616822429907,0.42815420560747663
15m,oos,rsi_slope_10_5,Q2,2,-5.054658691100244,-1.25972610481449,855,0.15321637426900586,0.3157894736842105,0.5309941520467836,0.32748538011695905
15m,oos,rsi_slope_10_5,Q3,3,-1.2522833065749381,9.824824590859006,856,0.13434579439252337,0.3119158878504673,0.5537383177570093,0.38434579439252337
15m,oos,rsi_slope_14_5,Q1,1,-17.040632872636678,-4.023808713233862,856,0.12733644859813084,0.3072429906542056,0.5654205607476636,0.4135514018691589
15m,oos,rsi_slope_14_5,Q2,2,-4.01139835009397,-0.7887925643887428,855,0.1672514619883041,0.2912280701754386,0.5415204678362573,0.3538011695906433
15m,oos,rsi_slope_14_5,Q3,3,-0.7887791268912068,9.796969384336222,856,0.12850467289719625,0.32242990654205606,0.5490654205607477,0.3726635514018692
15m,oos,zone_width_atr,Q1,1,0.1858388273382489,0.8579247181832654,856,0.07476635514018691,0.2897196261682243,0.6355140186915887,0.5887850467289719
15m,oos,zone_width_atr,Q2,2,0.8581864703200195,1.0847950658685273,855,0.1415204678362573,0.3298245614035088,0.5286549707602339,0.3216374269005848
15m,oos,zone_width_atr,Q3,3,1.0850276093706632,1.2797818325592267,856,0.20677570093457945,0.3014018691588785,0.49182242990654207,0.22955607476635514
15m,oos,freshness_bars,Q1,1,1.0,44.0,860,0.17209302325581396,0.3209302325581395,0.5069767441860465,0.26744186046511625
15m,oos,freshness_bars,Q2,2,45.0,212.0,856,0.15070093457943926,0.3107476635514019,0.5385514018691588,0.3463785046728972
15m,oos,freshness_bars,Q3,3,213.0,92762.0,851,0.099882491186839,0.2890716803760282,0.6110458284371327,0.5276145710928319
15m,oos,prior_taps,Q1,1,0.0,1.0,2210,0.13891402714932127,0.3085972850678733,0.5524886877828055,0.38122171945701355
15m,oos,prior_taps,Q2,2,2.0,10.0,357,0.15406162464985995,0.2969187675070028,0.5490196078431373,0.37254901960784315
15m,oos,approach_mom,Q1,1,-7.767060902487414,-2.2745735751438407,856,0.10630841121495327,0.2850467289719626,0.6086448598130841,0.5216121495327103
15m,oos,approach_mom,Q2,2,-2.2727004073319312,-1.1556838671914538,855,0.16023391812865498,0.3333333333333333,0.5064327485380117,0.26608187134502925
15m,oos,approach_mom,Q3,3,-1.1549321688067802,2.5207159939253163,856,0.15654205607476634,0.30257009345794394,0.5408878504672897,0.3522196261682243
15m,oos,tap_rsi,Q1,1,8.964454536409718,33.63356929769739,856,0.08995327102803738,0.26985981308411217,0.6401869158878505,0.6004672897196262
15m,oos,tap_rsi,Q2,2,33.639462130365715,41.13806577645022,855,0.15321637426900586,0.3309941520467836,0.5157894736842106,0.2894736842105263
15m,oos,tap_rsi,Q3,3,41.145404588377474,70.2081671056839,856,0.17990654205607476,0.32009345794392524,0.5,0.25
15m,oos,stop_width_frac,Q1,1,0.003002755813541925,0.004259928732094741,856,0.12733644859813084,0.3142523364485981,0.5584112149532711,0.39602803738317754
15m,oos,stop_width_frac,Q2,2,0.004261906523416129,0.006147951501338576,855,0.14385964912280702,0.32397660818713453,0.5321637426900585,0.3304093567251462
15m,oos,stop_width_frac,Q3,3,0.006148312093805324,0.03197871587816928,856,0.15186915887850466,0.2827102803738318,0.5654205607476636,0.4135514018691589
15m,oos,stop_width_atr,Q1,1,0.19301321060770715,0.835463861148988,856,0.06775700934579439,0.2897196261682243,0.6425233644859814,0.6063084112149533
15m,oos,stop_width_atr,Q2,2,0.8363441204768578,1.07501314278717,855,0.14502923976608187,0.3298245614035088,0.5251461988304094,0.3128654970760234
15m,oos,stop_width_atr,Q3,3,1.0752710801412482,1.3432201642588,856,0.2102803738317757,0.3014018691588785,0.4883177570093458,0.2207943925233645
15m,oos,rsi_ema_slope,Q1,1,-4.561728403334946,-1.5217270645080916,856,0.12266355140186916,0.29439252336448596,0.5829439252336449,0.45735981308411217
15m,oos,rsi_ema_slope,Q2,2,-1.516774428284407,-0.7847089044694044,855,0.14619883040935672,0.312280701754386,0.5415204678362573,0.3538011695906433
15m,oos,rsi_ema_slope,Q3,3,-0.7844820539704642,1.8638671001709,856,0.1542056074766355,0.3142523364485981,0.5315420560747663,0.32885514018691586
15m,oos,rsi_ema_curv,Q1,1,-4.18033703237387,-0.5696997627169011,856,0.12266355140186916,0.3072429906542056,0.5700934579439252,0.4252336448598131
15m,oos,rsi_ema_curv,Q2,2,-0.5691727979262708,-0.12142560575433237,855,0.13216374269005848,0.3157894736842105,0.552046783625731,0.38011695906432746
15m,oos,rsi_ema_curv,Q3,3,-0.1202716489957183,1.901002269265355,856,0.16822429906542055,0.29789719626168226,0.5338785046728972,0.334696261682243
15m,oos,rsi_ema_death_shape,Q1,1,0.0,1.0,2567,0.14102064666926373,0.3069731203739774,0.5520062329567589,0.38001558239189714
1h,is,trend_dev,Q1,1,-0.6055235490192896,-0.03226681347479754,483,0.11594202898550725,0.2318840579710145,0.6521739130434783,0.6304347826086957
