symbol,timeframe,bucket,bucket_lo,bucket_hi,narrow,active_taps,break_bar_taps,break_bar_share
DOT/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,495,26,0.04990403071017274
DOT/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,336,13,0.03724928366762178
DOT/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,43,41,0.4880952380952381
DOT/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,178,65,0.2674897119341564
DOT/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,262,61,0.18885448916408668
DOT/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,317,39,0.10955056179775281
DOT/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,253,17,0.06296296296296296
DOT/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,162,4,0.024096385542168676
DOT/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,21,19,0.475
DOT/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,80,39,0.3277310924369748
DOT/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,169,28,0.14213197969543148
DOT/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,164,15,0.08379888268156424
DOT/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,122,4,0.031746031746031744
DOT/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,92,3,0.031578947368421054
BCH/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,521,571,0.5228937728937729
BCH/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1460,620,0.2980769230769231
BCH/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2371,540,0.18550326348333906
BCH/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2537,322,0.11262679258481986
BCH/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,2055,140,0.06378132118451026
BCH/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1712,53,0.03002832861189802
BCH/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,104,116,0.5272727272727272
BCH/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,287,152,0.3462414578587699
BCH/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,572,131,0.18634423897581792
BCH/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,720,86,0.10669975186104218
