lens,symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
pen_5bp,BCH/USDT:USDT,1h,oos_warm,110,87,0.5977011494252874,0.36219904220714505,0.045259898565954804,,
pen_5bp,BCH/USDT:USDT,2h,full,141,120,0.65,0.8734981548310814,0.05868841930059887,,
pen_5bp,BCH/USDT:USDT,2h,oos_warm,54,44,0.5909090909090909,0.18847819043819292,0.04416471388487287,,
pen_5bp,BCH/USDT:USDT,4h,full,69,55,0.5636363636363636,0.1910431552651813,0.03409164515927574,,
pen_5bp,BCH/USDT:USDT,4h,oos_warm,25,22,0.5,0.02277439810837295,0.023758974434724675,,
pen_5bp,BNB/USDT:USDT,15m,full,1195,699,0.5522174535050072,1.3454039168902898,0.06737887876139317,,
pen_5bp,BNB/USDT:USDT,15m,oos_warm,369,177,0.5084745762711864,0.031168796620621105,0.06448564645400165,,
pen_5bp,BNB/USDT:USDT,1h,full,265,211,0.6066350710900474,0.9872841521332554,0.07176684390204711,,
pen_5bp,BNB/USDT:USDT,1h,oos_warm,91,77,0.5324675324675324,0.14163836564118684,0.07176684390204703,,
pen_5bp,BNB/USDT:USDT,2h,full,121,105,0.580952380952381,0.3907034786495222,0.04781801215655156,,
pen_5bp,BNB/USDT:USDT,2h,oos_warm,44,36,0.5833333333333334,0.12036609943204876,0.04291082778859914,,
pen_5bp,BNB/USDT:USDT,4h,full,70,60,0.6166666666666667,0.3431631558483088,0.03637846249162794,,
pen_5bp,BNB/USDT:USDT,4h,oos_warm,24,20,0.65,0.12400724623561582,0.025918785489029973,,
pen_5bp,BTC/USDT:USDT,15m,full,1159,586,0.5597269624573379,0.9764056528121844,0.07636910374302769,,
pen_5bp,BTC/USDT:USDT,15m,oos_warm,377,148,0.4797297297297297,-0.002656210888948044,0.07279686885407906,,
pen_5bp,BTC/USDT:USDT,1h,full,303,236,0.5847457627118644,0.7073802400398821,0.05755825662730385,,
pen_5bp,BTC/USDT:USDT,1h,oos_warm,101,78,0.48717948717948717,0.018330401356976653,0.057558256627303586,,
pen_5bp,BTC/USDT:USDT,2h,full,153,117,0.6068376068376068,0.45877401835552684,0.04663477640273171,,
pen_5bp,BTC/USDT:USDT,2h,oos_warm,52,39,0.5897435897435898,0.08395591911470747,0.029815130954587113,,
pen_5bp,BTC/USDT:USDT,4h,full,54,46,0.6086956521739131,0.21196735429697455,0.052564700167747135,,
pen_5bp,BTC/USDT:USDT,4h,oos_warm,16,13,0.5384615384615384,0.030950262983408357,0.0395407056323266,,
pen_5bp,DOGE/USDT:USDT,15m,full,1217,891,0.5892255892255892,5.071208662072716,0.09288122548970197,,
pen_5bp,DOGE/USDT:USDT,15m,oos_warm,482,348,0.5488505747126436,0.5293421783843649,0.08504650192090146,,
