arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades,lens,net_r_stderr,gross_r,cost_r,breakeven_win_rate,breakeven_win_rate_zero_cost,win_rate_margin,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_net_r_share,exclude
기준,0.003,0.4,full,False,44,11,69783,0.7702592321912214,0.005655801743762342,0.0640068552155056,6.871970498766109,0.5710312715517931,12.034315528975045,20,0.06809106474433924,0.06809106474433924,0.5775475402318616,0.0013617364502076178,0,16383,95854,0,4513,baseline,0.0023718618392990732,0.07836931487187361,0.07271351312814357,0.766223937948674,0.7142857142857143,0.004035294242547338,29918,0.42872906008626743,25.661971329108272,-LTC
기준,0.003,0.4,oos_warm,False,44,11,20770,0.777130476649013,0.007829239196714579,0.07274827735592237,1.6523796064566956,1.0473198817158638,1.5777219885767275,15,13.275091010855729,13.275091010855729,0.6672123254694271,0.008905357895365881,378,16383,95854,0,942,baseline,0.004318244011977839,0.08800413575862262,0.08017489656188521,0.7715534975442038,0.7142857142857143,0.005576979104809254,8239,0.3966779008184882,16.71433569442778,-LTC
기준,0.003,0.4,full,False,44,11,69905,0.7671840354767184,0.0005457775186437473,0.05943280213949612,3.724626343163135,0.7811765452745634,4.767970013556955,19,0.06619239349303727,0.06619239349303727,0.5823474715685574,0.0016151237105262227,0,16748,96023,0,4506,baseline,0.002381313777709642,0.07406402831993697,0.07351825080130765,0.7667987505723627,0.7142857142857143,0.0003852849043557427,29939,0.42828123882411845,265.43710598704087,-SOL
기준,0.003,0.4,oos_warm,False,44,11,20671,0.7746601519036331,0.004297000778014168,0.06924823760979579,0.8431781267461349,1.1459092277294753,0.7358158101377915,15,209.97031939259534,209.97031939259534,0.6665860384113008,0.022207632816719964,3190,16748,96023,0,937,baseline,0.004341596556322582,0.08454578393433117,0.08024878315629533,0.7716062736830681,0.7142857142857143,0.0030538782205650206,8117,0.3926757292825698,30.131515510459053,-SOL
기준,0.003,0.4,full,False,44,11,72058,0.7711010574814733,0.007936645838446735,0.06552565541690468,7.693981841138457,0.5674347180156629,13.559237030903843,20,0.06885110953869589,0.06885110953869589,0.5686391517943878,0.00124106321126572,0,15275,99027,0,5755,baseline,0.0023278302741489443,0.07954766854066687,0.07161102270225879,0.7654364447873278,0.7142857142857143,0.005664612694145532,31046,0.43084737294956843,18.408124756330466,-TRX
기준,0.003,0.4,oos_warm,False,44,11,21847,0.7792831967775896,0.012151635807441266,0.07633122824045854,1.8782286011943674,1.0687755125128113,1.7573649276249237,15,46.34130735666825,46.34130735666825,0.6620588639172427,0.013172349000766087,698,15275,99027,0,1568,baseline,0.004185619734579654,0.09101688560016516,0.07886524979269226,0.7706180355662088,0.7142857142857143,0.008665161211380834,8769,0.4013823408248272,10.904930072320935,-TRX
기준,0.003,0.4,full,False,44,11,69860,0.7719725164614945,0.00838770659484503,0.06661431833065519,7.718349432772369,0.5214756774833069,14.800976854801522,19,0.0695097881904993,0.0695097881904993,0.5766676209561981,0.0012801155252239783,0,16505,96177,0,4507,baseline,0.0023627485824977298,0.08076790580737807,0.07238019921257234,0.7659858565804089,0.7142857142857143,0.005986659881085599,29985,0.42921557400515314,17.321376335125795,-XRP
기준,0.003,0.4,oos_warm,False,44,11,20997,0.7772538934133447,0.008349402277646025,0.07306419298357686,1.5290242301067534,1.079636415528802,1.4162399564466734,15,62.02249356722425,62.02249356722425,0.6673810544363481,0.01732704767988537,1153,16505,96177,0,937,baseline,0.004290297593828499,0.08817668713181055,0.07982728485414016,0.771305203467243,0.7142857142857143,0.0059486899461017595,8366,0.39843787207696335,15.756822692340103,-XRP
기준,0.003,0.4,full,False,36,9,56600,0.7701413427561837,0.0039791522168691855,0.06346718683007091,5.066481814374524,0.5712538238429993,8.869055405687703,19,0.08831179767789062,0.08831179767789062,0.5887455830388693,0.0018303439378971858,0,14160,77256,0,4532,baseline,0.0026384641070546465,0.0781978798586916,0.07421872764178841,0.7672990911727061,0.7142857142857143,0.0028422515834776174,24046,0.42484098939929327,36.03113794332882,-new3
기준,0.003,0.4,oos_warm,False,36,9,16824,0.7781740370898717,0.007651830710759891,0.07376420975958146,1.5541260113360869,0.8496062787858124,1.8292308450887584,13,0.16018820685769558,0.16018820685769558,0.6761174512601046,0.004897211948525905,0,14160,77256,0,941,baseline,0.004803138943955888,0.08944365192582467,0.08179182121506079,0.7727084437250434,0.7142857142857143,0.005465593364828214,6608,0.3927722301474085,16.89131092572023,-new3
