timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,broke_rate,mean_r
1h,oos,freshness_bars,Q1,1,1.0,43.0,190,0.5421052631578948,0.14473684210526316
1h,oos,freshness_bars,Q2,2,44.0,186.0,183,0.5136612021857924,0.21584699453551912
1h,oos,freshness_bars,Q3,3,188.0,21917.0,187,0.40106951871657753,0.49732620320855614
1h,oos,prior_taps,Q1,1,0.0,1.0,396,0.48484848484848486,0.2878787878787879
1h,oos,prior_taps,Q2,2,2.0,15.0,164,0.4878048780487805,0.2804878048780488
1h,oos,approach_mom,Q1,1,-6.905180417157858,-1.9459365986768753,187,0.45989304812834225,0.3502673796791444
1h,oos,approach_mom,Q2,2,-1.9418661292943729,-0.8343399529172453,186,0.5,0.25
1h,oos,approach_mom,Q3,3,-0.8169600338853685,3.5230772681014497,187,0.49732620320855614,0.25668449197860965
1h,oos,tap_rsi,Q1,1,11.450327068487937,34.3295148306547,187,0.40641711229946526,0.4839572192513369
1h,oos,tap_rsi,Q2,2,34.341686134806196,44.0509668788955,186,0.4946236559139785,0.26344086021505375
1h,oos,tap_rsi,Q3,3,44.1801377898623,75.41716813105757,187,0.5561497326203209,0.10962566844919786
