lens,seed,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_concurrent_risk_ratio,liquidations
pen_5bp_drop_50,3,BTC/USDT:USDT,15m,oos,lev_3,3.0,-0.12051490865949581,0.43119266055045874,0.2046127850052431,109,0.23145780051150894,0.0779816513761468,-16.768865706448864,2,0.02,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,15m,oos,single,1.0,-0.08824847455899107,0.4051724137931034,0.11394898651387458,116,0.22634271099744246,0.01293103448275862,-16.465383720809776,1,,
pen_5bp_drop_50,4,BTC/USDT:USDT,15m,oos,lev_1,1.0,-0.07330237991341056,0.4152542372881356,0.11394898651387449,118,0.22634271099744246,0.038135593220338986,-13.117139887504573,2,0.02,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,15m,oos,lev_2,2.0,-0.15874367143773196,0.4166666666666667,0.17215273443358522,120,0.22634271099744246,0.041666666666666664,-22.854364383284466,2,0.020000000000000004,0.0
pen_5bp_drop_50,4,BTC/USDT:USDT,15m,oos,lev_3,3.0,-0.17750684034009354,0.4166666666666667,0.18882781462977663,120,0.22634271099744246,0.041666666666666664,-23.424726722624893,2,0.02,0.0
baseline,0,BTC/USDT:USDT,1h,is,single,1.0,0.03547677340080954,0.48854961832061067,0.09936575966948973,131,0.504424778761062,0.22137404580152673,2.872279182040349,1,,
baseline,0,BTC/USDT:USDT,1h,is,lev_1,1.0,0.025704153691598185,0.48905109489051096,0.12059513576810225,137,0.504424778761062,0.22262773722627738,2.1596232113831793,3,0.02229489563783104,0.0
baseline,0,BTC/USDT:USDT,1h,is,lev_2,2.0,0.08411001760153486,0.48201438848920863,0.14115612529046148,139,0.504424778761062,0.20503597122302158,5.093854920158266,3,0.030000000000000002,0.0
baseline,0,BTC/USDT:USDT,1h,is,lev_3,3.0,0.07776607102049621,0.48201438848920863,0.14517704535776602,139,0.504424778761062,0.20503597122302158,4.647124721130703,3,0.030000000000000002,0.0
pen_5bp,0,BTC/USDT:USDT,1h,is,single,1.0,-0.012220886446722033,0.4715447154471545,0.1118439865102003,123,0.45722713864306785,0.17886178861788618,-0.40538317460867473,1,,
pen_5bp,0,BTC/USDT:USDT,1h,is,lev_1,1.0,-0.021543345319222498,0.4728682170542636,0.13277923103044026,129,0.45722713864306785,0.1821705426356589,-1.0435098227495683,3,0.02229489563783104,0.0
pen_5bp,0,BTC/USDT:USDT,1h,is,lev_2,2.0,0.02363252936576864,0.46564885496183206,0.15305534942549767,131,0.45722713864306785,0.16412213740458015,1.9488567490630897,3,0.03,0.0
pen_5bp,0,BTC/USDT:USDT,1h,is,lev_3,3.0,0.019723710058363576,0.46564885496183206,0.15702055991563854,131,0.45722713864306785,0.16412213740458015,1.702425650448648,3,0.030000000000000002,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,1h,is,single,1.0,-0.06792028076793158,0.44594594594594594,0.126095262424534,74,0.26548672566371684,0.11486486486486487,-8.195398569467308,1,,
pen_5bp_drop_50,0,BTC/USDT:USDT,1h,is,lev_1,1.0,-0.08324883503627316,0.4358974358974359,0.14669458179034192,78,0.26548672566371684,0.08974358974358974,-9.797677520583528,3,0.022294895637831037,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,1h,is,lev_2,2.0,-0.06408059719477642,0.43037974683544306,0.15619372995805117,79,0.26548672566371684,0.0759493670886076,-6.112899108605009,3,0.03,0.0
pen_5bp_drop_50,0,BTC/USDT:USDT,1h,is,lev_3,3.0,-0.06039427324785574,0.43037974683544306,0.15869404435308693,79,0.26548672566371684,0.0759493670886076,-5.487719099193473,3,0.030000000000000002,0.0
