symbol,timeframe,segment,lens,tp_rule,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
LINK/USDT:USDT,4h,is,pen_5bp,zone_height,1.5,78,43,37,0.5512820512820513,0.1229101150208856,0.0378703373610219,0.4594594594594595,8.371211879024154,0.3665115171065194,17,20,0
LINK/USDT:USDT,4h,oos_warm,baseline,entry_r,1.5,34,20,19,0.5882352941176471,0.1569604426975043,0.0105782285570358,0.7368421052631579,32.32909288826444,0.8421052631578955,14,5,0
LINK/USDT:USDT,4h,oos_warm,baseline,zone_height,1.5,34,20,19,0.5882352941176471,0.1552421622811978,0.0107388740386526,0.6842105263157895,27.14258628540965,0.8561015931986914,13,6,0
LINK/USDT:USDT,4h,oos_warm,pen_5bp,entry_r,1.5,34,19,18,0.5588235294117647,0.1692672202911861,0.0105782285570359,0.7777777777777778,38.66264437001299,0.9444444444444448,14,4,0
LINK/USDT:USDT,4h,oos_warm,pen_5bp,zone_height,1.5,34,19,18,0.5588235294117647,0.1683802662134385,0.0107388740386526,0.7222222222222222,31.737006918812146,0.963421204170787,13,5,0
LINK/USDT:USDT,4h,oos,baseline,entry_r,1.5,34,20,19,0.5882352941176471,0.1569604426975043,0.0105782285570358,0.7368421052631579,32.32909288826444,0.8421052631578955,14,5,0
LINK/USDT:USDT,4h,oos,baseline,zone_height,1.5,34,20,19,0.5882352941176471,0.1552421622811978,0.0107388740386526,0.6842105263157895,27.14258628540965,0.8561015931986914,13,6,0
LINK/USDT:USDT,4h,oos,pen_5bp,entry_r,1.5,34,19,18,0.5588235294117647,0.1692672202911861,0.0105782285570359,0.7777777777777778,38.66264437001299,0.9444444444444448,14,4,0
LINK/USDT:USDT,4h,oos,pen_5bp,zone_height,1.5,34,19,18,0.5588235294117647,0.1683802662134385,0.0107388740386526,0.7222222222222222,31.737006918812146,0.963421204170787,13,5,0
LTC/USDT:USDT,4h,full,baseline,entry_r,1.5,95,67,53,0.7052631578947368,0.2328380798014868,0.0410833160983269,0.5849056603773585,15.277653868350816,0.4622641509433962,31,22,0
LTC/USDT:USDT,4h,full,baseline,zone_height,1.5,95,67,53,0.7052631578947368,0.299579078815243,0.0410833160983271,0.5660377358490566,15.920767050889843,0.5663621185378445,30,23,0
LTC/USDT:USDT,4h,full,pen_5bp,entry_r,1.5,95,63,51,0.6631578947368421,0.2275134563052459,0.0410833160983269,0.5882352941176471,15.58495333217924,0.4705882352941177,30,21,0
LTC/USDT:USDT,4h,full,pen_5bp,zone_height,1.5,95,63,51,0.6631578947368421,0.2996143266766888,0.041083316098327,0.5686274509803921,16.228415833988002,0.5916629551434089,29,22,0
LTC/USDT:USDT,4h,is,baseline,entry_r,1.5,49,30,28,0.6122448979591837,0.1360661364822661,0.020858455133549,0.6071428571428571,17.54672147419165,0.5178571428571427,17,11,0
LTC/USDT:USDT,4h,is,baseline,zone_height,1.5,49,30,28,0.6122448979591837,0.1259148596246675,0.0297807293134905,0.5714285714285714,15.284517986695633,0.4866590883801991,16,12,0
LTC/USDT:USDT,4h,is,pen_5bp,entry_r,1.5,49,30,28,0.6122448979591837,0.1360589401133886,0.020858455133549,0.6071428571428571,17.546116388106114,0.5178571428571429,17,11,0
LTC/USDT:USDT,4h,is,pen_5bp,zone_height,1.5,49,30,28,0.6122448979591837,0.1260604209823508,0.0297807293134905,0.5714285714285714,15.296873193416204,0.4871507330234945,16,12,0
LTC/USDT:USDT,4h,oos_warm,baseline,entry_r,1.5,46,37,25,0.8043478260869565,0.0851816106576918,0.0410833160983271,0.56,12.503388869357206,0.4000000000000002,14,11,0
LTC/USDT:USDT,4h,oos_warm,baseline,zone_height,1.5,46,37,25,0.8043478260869565,0.1542427633013634,0.0410833160983269,0.56,16.432825092004162,0.6556295123144072,14,11,0
LTC/USDT:USDT,4h,oos_warm,pen_5bp,entry_r,1.5,46,33,23,0.717391304347826,0.0805015593493148,0.0410833160983269,0.5652173913043478,12.913818646441037,0.4130434782608698,13,10,0
LTC/USDT:USDT,4h,oos_warm,pen_5bp,zone_height,1.5,46,33,23,0.717391304347826,0.1541248608515459,0.041083316098327,0.5652173913043478,17.12546085200271,0.7188952255502612,13,10,0
