scope,arm,sizing_mode,multiple,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional
15m,book,fixed_notional,2.0,full,SOL,5,1473,0.5458248472505092,0.5252349415177099,0.031205717998722213,3.0,0.014576980247154729,1.0011162540465697,0.0,0.0,278.0,0.0
15m,book,fixed_notional,3.0,full,SOL,5,1473,0.5458248472505092,0.8768089012547869,0.046692057859015486,3.0,0.021865470370732092,1.5025136760305626,0.0,0.0,278.0,0.0
15m,book,fixed_notional,5.0,full,SOL,5,1473,0.5458248472505092,1.8211537416998487,0.07741117972789568,3.0,0.03644245061788682,2.5069941541099223,0.0,0.0,278.0,0.0
15m,isolated,risk_pct,1.0,full,TRX,5,1984,0.5542721082985459,0.6499608513103552,0.06591611799614548,,,,,,,
15m,book,risk_pct,1.0,full,TRX,5,1710,0.5614035087719298,5.906647384974877,0.09376310515016152,2.0,0.015842516718997685,1.0000000000000002,0.0,1617.0,316.0,434.0
15m,book,risk_pct,2.0,full,TRX,5,1717,0.5608619685497962,43.11080590495832,0.1800502943900731,2.0,0.031685033437995364,2.0000000000000004,0.0,1624.0,320.0,423.0
15m,book,risk_pct,3.0,full,TRX,5,1718,0.5622817229336438,259.45193182608756,0.2613761865539067,2.0,0.04752755015699305,3.000000000000001,0.0,1625.0,317.0,424.0
15m,book,risk_pct,5.0,full,TRX,5,1716,0.5611888111888111,6870.458339220999,0.40900191764945865,2.0,0.07921258359498842,5.000000000000002,0.0,1623.0,318.0,415.0
15m,book,fixed_notional,1.0,full,TRX,5,1984,0.5604838709677419,0.48317768663599797,0.020069767938943633,4.0,0.006008706829231566,0.6667885166774328,0.0,0.0,369.0,0.0
15m,book,fixed_notional,2.0,full,TRX,5,1984,0.5604838709677419,1.1912046215321115,0.03979333171348418,4.0,0.012017413658463132,1.3338210899753098,0.0,0.0,369.0,0.0
15m,book,fixed_notional,3.0,full,TRX,5,1984,0.5604838709677419,2.2245666046426753,0.059175468234861535,4.0,0.0180261204876947,2.00109825596691,0.0,0.0,369.0,0.0
15m,book,fixed_notional,5.0,full,TRX,5,1984,0.5604838709677419,5.901637205404481,0.09693435887473394,4.0,0.03004353414615783,3.336388518185855,0.0,0.0,369.0,0.0
15m,isolated,risk_pct,1.0,full,XRP,5,1664,0.5384961979344002,0.49055698554588456,0.06509642410865157,,,,,,,
15m,book,risk_pct,1.0,full,XRP,5,1466,0.5607094133697135,3.9518988421109613,0.08745292924289423,2.0,0.015604342595183543,1.0000000000000002,0.0,1403.0,251.0,367.0
15m,book,risk_pct,2.0,full,XRP,5,1465,0.5597269624573379,21.581086270536254,0.16816539700895705,2.0,0.03120868519036709,2.0000000000000004,0.0,1402.0,251.0,358.0
15m,book,risk_pct,3.0,full,XRP,5,1470,0.5591836734693878,95.20377644986762,0.2425761690498909,2.0,0.04681302778555063,3.000000000000001,0.0,1407.0,250.0,358.0
15m,book,risk_pct,5.0,full,XRP,5,1465,0.5590443686006826,1405.1904193050793,0.3802359178332523,2.0,0.07802171297591773,5.000000000000001,0.0,1402.0,253.0,362.0
15m,book,fixed_notional,1.0,full,XRP,5,1664,0.5528846153846154,0.3322538773505157,0.017822344611787597,3.0,0.006008706829231566,0.5001605690423279,0.0,0.0,300.0,0.0
15m,book,fixed_notional,2.0,full,XRP,5,1664,0.5528846153846154,0.7695020678435227,0.03536587033406486,3.0,0.012017413658463132,1.0006440771879586,0.0,0.0,300.0,0.0
