symbol,timeframe,side,entry_time,exit_time,window_start,window_end
BTC/USDT:USDT,1h,long,1728477480000,1728482580000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1729878960000,1729879200000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1730383080000,1730383500000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1730756220000,1730757720000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1731172200000,1731178860000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1731627600000,1731629280000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1732609800000,1732638480000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1733128620000,1733149620000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1733437680000,1733437680000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1733758500000,1733773200000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1734495720000,1734501300000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1734565740000,1734574320000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1735313580000,1735320180000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1736271480000,1736311620000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1736429820000,1736437500000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1738351200000,1738359000000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1738536000000,1738545660000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1740478920000,1740479580000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1743634800000,1743638580000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1744008360000,1744012980000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1744161900000,1744162680000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1744573260000,1744573620000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1744578300000,1744579320000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1744765080000,1744768920000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1745141160000,1745145720000,1689292800000,1784073600000
BTC/USDT:USDT,1h,long,1748566680000,1748567700000,1689292800000,1784073600000
