segment,axis,bucket,metric,conditional,num_bars,p25,p50,p75,p90,p99,share_above_5bp,percentile_of_5bp
oos,symbol,XRP/USDT:USDT,bar_range_bp,True,722,29.061606145156823,51.753422392519596,112.46188571654848,434.34680922151557,2369.7960350113485,1.0,0.0
oos,symbol,XRP/USDT:USDT,adverse_bp,True,722,5.536145940286595,15.55772464964188,40.32998875409218,116.75823739927259,813.9340602868183,0.7576177285318559,0.24238227146814403
oos,symbol,XRP/USDT:USDT,bar_range_bp,False,1022784,5.729017473504784,9.483859201166199,16.037315541550743,26.510059788423632,65.55692848723407,0.8140545804392716,0.18594541956072835
oos,timeframe,15m,bar_range_bp,True,5988,27.021357555000836,46.38129331159682,91.98342005467929,233.35522270553716,2493.500491074009,0.9961589846359385,0.003841015364061456
oos,timeframe,15m,adverse_bp,True,5988,4.46377192092507,12.656448007289958,30.737704918032133,80.71344196875305,947.3362534379136,0.7252839011356046,0.27471609886439546
oos,timeframe,1h,bar_range_bp,True,1562,31.91201862056974,57.7458478632448,134.5544240430007,477.49162535795637,3137.996219281663,0.9993597951344431,0.0006402048655569782
oos,timeframe,1h,adverse_bp,True,1562,6.14577311206371,16.788176164449055,47.63860028401762,160.34518326036036,1402.0021901531532,0.7900128040973111,0.20998719590268886
oos,timeframe,2h,bar_range_bp,True,793,37.082429841927905,74.17102966841145,210.44938144219014,758.0868885496357,3248.112977842707,0.9936948297604036,0.006305170239596469
oos,timeframe,2h,adverse_bp,True,793,5.873613654424763,20.203203232513218,71.67807799690078,266.15694744715034,1659.9321157265229,0.7894073139974779,0.21059268600252207
oos,timeframe,4h,bar_range_bp,True,387,42.816102351893996,96.61957459673586,291.4771175497637,970.7999112266575,3054.3550135792243,0.9948320413436692,0.00516795865633075
oos,timeframe,4h,adverse_bp,True,387,9.320969733051449,30.0143546913728,89.93021477279979,299.92799490702606,1479.771438537771,0.8527131782945736,0.14728682170542637
oos_warm,overall,전체,bar_range_bp,True,8886,29.175837040379225,51.49847984183344,108.9648340762751,342.2898775078939,3026.315789473685,0.996511366194013,0.0034886338059869457
oos_warm,overall,전체,adverse_bp,True,8886,5.003701516938781,14.567085116144675,37.622328421760216,112.89046926450757,1246.3110717177549,0.75016880486158,0.24983119513841998
oos_warm,symbol,ADA/USDT:USDT,bar_range_bp,True,789,32.45942571785327,54.40468717304857,109.753938750221,439.07741805660913,2333.4016813614917,1.0,0.0
oos_warm,symbol,ADA/USDT:USDT,adverse_bp,True,789,4.822375823822005,15.398829688943653,38.14553990610234,149.21427046876678,1396.8750000000005,0.7401774397972116,0.2598225602027883
oos_warm,symbol,ADA/USDT:USDT,bar_range_bp,False,1024980,8.302200083022239,12.411225263738702,19.323671497583945,29.490849162980915,66.0708035396813,0.9400573669730141,0.059942633026985895
oos_warm,symbol,BCH/USDT:USDT,bar_range_bp,True,823,33.47096321229385,62.54211226481929,133.55377972889488,367.20284781613293,1087.6604924081237,0.9963547995139733,0.0036452004860267314
oos_warm,symbol,BCH/USDT:USDT,adverse_bp,True,823,7.056677165624828,18.05899270951654,44.8839585461983,95.68377675430389,402.7698792359422,0.8019441069258809,0.19805589307411908
oos_warm,symbol,BCH/USDT:USDT,bar_range_bp,False,1024980,5.4806070826305,9.052049283379775,14.76361029327471,23.175703595469635,55.6552122185292,0.7851372709711409,0.2148627290288591
oos_warm,symbol,BNB/USDT:USDT,bar_range_bp,True,639,20.83493454947948,36.82315008577018,72.16745392663938,191.16221083252466,1346.25838014133,0.9921752738654147,0.00782472613458529
oos_warm,symbol,BNB/USDT:USDT,adverse_bp,True,639,3.653524616163585,9.77175961471451,25.545201372397948,63.17527060523874,544.9555255189673,0.6791862284820032,0.3208137715179969
oos_warm,symbol,BNB/USDT:USDT,bar_range_bp,False,1024980,3.531381083660539,6.078048541222023,10.212646581098948,16.254748070517223,37.450212258028785,0.5987287556830377,0.40127124431696226
oos_warm,symbol,BTC/USDT:USDT,bar_range_bp,True,603,18.836675545794932,32.012008484775464,61.58379027619799,114.74513423807304,696.4995575217052,0.988391376451078,0.011608623548922056
oos_warm,symbol,BTC/USDT:USDT,adverse_bp,True,603,3.926064092087752,10.080561730612539,24.502712531400874,55.314905539315376,268.2030282830201,0.714759535655058,0.28524046434494194
oos_warm,symbol,BTC/USDT:USDT,bar_range_bp,False,1024980,2.8303970948314134,5.204936889273233,8.988387018169032,14.511526911465756,33.090445691196294,0.5191740326640519,0.480825967335948
oos_warm,symbol,DOGE/USDT:USDT,bar_range_bp,True,896,36.20000369335054,65.42150056832443,156.55765259568673,588.1148290306105,3392.3456534492875,1.0,0.0
oos_warm,symbol,DOGE/USDT:USDT,adverse_bp,True,896,7.641400017913697,18.888888888889277,49.471333774818184,215.85184810134075,1554.530177665666,0.8203125,0.1796875
oos_warm,symbol,DOGE/USDT:USDT,bar_range_bp,False,1024980,7.302696781597269,11.582452584335266,18.519335067683926,28.791607492284555,66.78083371795276,0.8901802962009014,0.10981970379909851
oos_warm,symbol,DOT/USDT:USDT,bar_range_bp,True,778,32.71534988853669,57.286079667236514,126.88983552669339,312.3754974346752,839.9592373440937,1.0,0.0
oos_warm,symbol,DOT/USDT:USDT,adverse_bp,True,778,4.400982132334441,15.128593040848221,38.94521241140583,98.60341445369136,422.9493265075072,0.7172236503856041,0.2827763496143959
