symbol,timeframe,segment,arm,definition,num_trades,win_rate,total_return,max_drawdown,fill_rate,eligible_setups,mean_r,sharpe,n_from_15m,n_from_5m,n_from_1m
BTC/USDT:USDT,15m,is,B,proximal_in,513,0.5126705653021443,0.33691150642694756,0.1055464565642601,0.8190598840952994,1553,0.28167641325536064,13.825167587753493,0,409,104
BTC/USDT:USDT,15m,is,C,proximal_in,190,0.5578947368421052,0.1870297860377019,0.04872263652625357,0.6706884315117104,1409,0.39473684210526316,27.38670849122879,0,186,4
BTC/USDT:USDT,15m,is,B,touch,529,0.5085066162570888,0.30607723863245573,0.11691530946205776,0.8210659898477157,1576,0.2712665406427221,12.431092336586127,0,465,64
BTC/USDT:USDT,15m,is,C,touch,203,0.5172413793103449,0.06843054914349432,0.08177804139131456,0.7045285820341499,1347,0.29310344827586204,10.070642362847334,0,200,3
BTC/USDT:USDT,15m,oos,A,none,253,0.4782608695652174,0.025310032813136787,0.1351074898003508,0.8397435897435898,780,0.1956521739130435,2.97635189047771,0,0,0
BTC/USDT:USDT,15m,oos,B,contained,250,0.48,0.03022914716019186,0.13719859425599468,0.8397350993377484,755,0.2,3.4226054130115027,0,198,52
BTC/USDT:USDT,15m,oos,C,contained,84,0.4642857142857143,-0.03613908455734545,0.07529863566435688,0.6592592592592592,675,0.16071428571428573,-11.82283974826791,0,84,0
BTC/USDT:USDT,15m,oos,B,proximal_in,251,0.4820717131474104,0.03768476257395305,0.13095462855437184,0.8400520156046815,769,0.2051792828685259,4.049214742567161,0,217,34
BTC/USDT:USDT,15m,oos,C,proximal_in,98,0.45918367346938777,-0.044844789673309786,0.07154639470472135,0.6385714285714286,700,0.14795918367346939,-12.801338107005163,0,98,0
BTC/USDT:USDT,15m,oos,B,touch,252,0.4801587301587302,0.030233153605800908,0.13095462855437132,0.8410852713178295,774,0.2003968253968254,3.404133598306804,0,232,20
BTC/USDT:USDT,15m,oos,C,touch,99,0.3838383838383838,-0.1314352956052031,0.14764228740033727,0.6994047619047619,672,-0.04040404040404041,-40.93822356164168,0,99,0
ETH/USDT:USDT,15m,full,A,none,983,0.5045778229908443,0.6874578817826332,0.33733814246502614,0.8086319218241043,2456,0.2614445574771109,11.587851893018875,0,0,0
ETH/USDT:USDT,15m,full,B,contained,952,0.5021008403361344,0.5960630887070407,0.3214688573347568,0.8069579974543912,2357,0.2552521008403361,10.744789729297619,0,768,184
ETH/USDT:USDT,15m,full,C,contained,499,0.5671342685370742,0.7224325453751346,0.06565843901603008,0.6758555133079848,2104,0.41783567134268534,29.40279871140396,0,471,28
ETH/USDT:USDT,15m,full,B,proximal_in,958,0.5031315240083507,0.6354106734825169,0.31701112535117626,0.8061139028475712,2388,0.2578288100208768,11.203760755639147,0,797,161
ETH/USDT:USDT,15m,full,C,proximal_in,514,0.5680933852140078,0.7550010372250389,0.0707621010818281,0.6540240518038853,2162,0.42023346303501946,29.501561537520196,0,488,26
ETH/USDT:USDT,15m,full,B,touch,972,0.5041152263374485,0.6606442276943791,0.32054742635721784,0.8073432343234324,2424,0.2602880658436214,11.372476233141786,0,872,100
ETH/USDT:USDT,15m,full,C,touch,549,0.5282331511839709,0.4140019921086336,0.07452771822261463,0.7097852028639619,2095,0.3205828779599271,17.15222640221142,0,524,25
ETH/USDT:USDT,15m,is,A,none,627,0.48165869218500795,0.036259406162898085,0.33733814246502614,0.8095545513234345,1549,0.20414673046251994,2.0171726159811567,0,0,0
ETH/USDT:USDT,15m,is,B,contained,609,0.48111658456486045,0.04886740968243666,0.3214688573347568,0.8084962913014161,1483,0.20279146141215107,2.456372617984657,0,482,127
