lens,universe,scope,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,reentry
baseline,19,all,full,XRP,72,29045,0.5779996557066621,5.479116552488489e+24,0.36453601852170225,18,0.1712732385084108,5.000000000000001,0,19967,13213,2141,band
baseline,19,all,oos_warm,,76,10250,0.5507317073170732,259890.79459406782,0.29752500697260853,13,0.11454480147123489,5.000000000000001,0,7922,4788,1224,band
baseline,19,all,oos_warm,ADA,72,9775,0.5531457800511509,213344.41211500386,0.2876120123637119,13,0.11457132936194667,5.000000000000001,0,7556,4583,1027,band
baseline,19,all,oos_warm,ALGO,72,9711,0.5530841313973844,263465.1517486643,0.2570242556048596,13,0.11454490107666658,5.000000000000001,0,7518,4510,1024,band
baseline,19,all,oos_warm,ATOM,72,9746,0.5512004925097476,165096.4508488162,0.2806544233264717,13,0.11454480144941095,5.000000000000001,0,7496,4555,1044,band
baseline,19,all,oos_warm,BCH,72,9784,0.5486508585445625,111928.88072505519,0.3222290272468868,12,0.11115151044904656,5.000000000000001,0,7533,4561,1098,band
baseline,19,all,oos_warm,BNB,72,9953,0.5507887069225359,217011.4417028408,0.3042918318715292,12,0.1111515104490466,5.000000000000001,0,7651,4679,1064,band
baseline,19,all,oos_warm,BTC,72,9972,0.5519454472523064,273199.4988809417,0.2644653764260454,12,0.11115151044904659,5.000000000000001,0,7644,4672,1038,band
baseline,19,all,oos_warm,DOGE,72,9740,0.5503080082135524,153211.91976514232,0.2550241147640909,12,0.11115142485012154,5.000000000000001,0,7531,4537,1016,band
baseline,19,all,oos_warm,DOT,72,9750,0.5515897435897436,204995.16256223165,0.2628764705781044,13,0.1145448014712349,5.000000000000001,0,7477,4511,1021,band
baseline,19,all,oos_warm,ETC,72,9783,0.5490135950117551,142603.39755119802,0.2891420711914976,13,0.11460554111887428,5.000000000000001,0,7530,4566,1043,band
baseline,19,all,oos_warm,ETH,72,9822,0.5477499490938709,118193.33136173048,0.29902440526214835,12,0.11115146564411377,5.000000000000001,0,7564,4627,1003,band
baseline,19,all,oos_warm,LINK,72,9789,0.5507201961385229,175545.29910661682,0.2738148954527379,12,0.11115151044904657,5.000000000000001,0,7559,4581,985,band
baseline,19,all,oos_warm,LTC,72,9819,0.5530094714329361,232429.28426109714,0.2763369071512614,13,0.11454353609903796,5.000000000000001,0,7552,4550,1011,band
baseline,19,all,oos_warm,SOL,72,9689,0.5504179997935803,134787.1140802974,0.3083417984540101,12,0.1088626046536459,5.000000000000001,0,7469,4531,1038,band
