scope,unit,offset_ms,segment,bin,bins,lo,hi,n,stops,stop_rate,mean_net_r,net_r_stderr
btc,coin,-43200000,oos_warm,1,5,-0.02353909425,-0.007760044187,1789,1026,0.5735047513,-0.05201386848,0.03051051953
btc,coin,-43200000,oos_warm,2,5,-0.007760044187,0.005483972374,2759,1637,0.593330917,-0.1070787691,0.02441655779
btc,coin,-43200000,oos_warm,3,5,0.005483972374,0.02216112427,2680,1477,0.551119403,0.007030900833,0.02504809404
btc,coin,-43200000,oos_warm,4,5,0.02216112427,0.2105577588,1767,1060,0.5998868138,-0.1059319428,0.03017333985
btc,coin,-21600000,is,0,5,-0.1333631724,-0.01503161397,2997,1757,0.5862529196,-0.07064885349,0.02332370452
btc,coin,-21600000,is,1,5,-0.01503161397,-0.004025049508,2993,1652,0.5519545606,0.01094271197,0.0236084308
btc,coin,-21600000,is,2,5,-0.004025049508,0.004935917351,2999,1746,0.5821940647,-0.07070501522,0.02342763207
btc,coin,-21600000,is,3,5,0.004935917351,0.01749161631,2995,1744,0.5823038397,-0.06248863092,0.02337928368
btc,coin,-21600000,is,4,5,0.01749161631,0.1697909236,2998,1748,0.5830553702,-0.05878055582,0.0233753704
btc,coin,-21600000,oos_warm,0,5,-0.1333631724,-0.01503161397,1174,678,0.5775127768,-0.04615839392,0.03734818897
btc,coin,-21600000,oos_warm,1,5,-0.01503161397,-0.004025049508,1878,1123,0.5979765708,-0.1199222915,0.02955720405
btc,coin,-21600000,oos_warm,2,5,-0.004025049508,0.004935917351,2840,1575,0.5545774648,-0.008291610704,0.0243831112
btc,coin,-21600000,oos_warm,3,5,0.004935917351,0.01749161631,2358,1335,0.5661577608,-0.03047114466,0.02656363312
btc,coin,-21600000,oos_warm,4,5,0.01749161631,0.1697909236,1825,1105,0.6054794521,-0.1212501749,0.02967299815
btc,coin,-7200000,is,0,5,-0.08282588422,-0.007229608484,2995,1744,0.5823038397,-0.05959268612,0.02337123317
btc,coin,-7200000,is,1,5,-0.007229608484,-0.001478841249,2998,1662,0.5543695797,0.003140287413,0.02360299292
btc,coin,-7200000,is,2,5,-0.001478841249,0.003155638697,2996,1724,0.5754339119,-0.04932952795,0.02343867368
btc,coin,-7200000,is,3,5,0.003155638697,0.01116245929,2996,1743,0.5817757009,-0.06535713918,0.02340952316
btc,coin,-7200000,is,4,5,0.01116245929,0.1577028185,2997,1774,0.5919252586,-0.08066006194,0.02329632214
btc,coin,-7200000,oos_warm,0,5,-0.08282588422,-0.007229608484,1174,665,0.566439523,-0.02108757152,0.03754765182
btc,coin,-7200000,oos_warm,1,5,-0.007229608484,-0.001478841249,1804,1064,0.5898004435,-0.09542186067,0.03021821898
btc,coin,-7200000,oos_warm,2,5,-0.001478841249,0.003155638697,2686,1530,0.5696202532,-0.04950433641,0.02496497908
btc,coin,-7200000,oos_warm,3,5,0.003155638697,0.01116245929,2481,1365,0.5501813785,0.01046898359,0.02603075116
btc,coin,-7200000,oos_warm,4,5,0.01116245929,0.1577028185,1930,1192,0.6176165803,-0.1513947025,0.02867790037
btc,coin,-3600000,is,0,5,-0.07400977612,-0.004672052804,2995,1690,0.5642737896,-0.009311479059,0.0234584158
btc,coin,-3600000,is,1,5,-0.004672052804,-0.0008994782111,2997,1779,0.5935935936,-0.09913792194,0.02331326477
btc,coin,-3600000,is,2,5,-0.0008994782111,0.002455149544,2997,1643,0.5482148815,0.01557667114,0.02366134107
btc,coin,-3600000,is,3,5,0.002455149544,0.009038214572,2961,1732,0.5849375211,-0.07013386489,0.02349607817
btc,coin,-3600000,is,4,5,0.009038214572,0.1439563632,3032,1803,0.5946569921,-0.08852824908,0.02314861493
btc,coin,-3600000,oos_warm,0,5,-0.07400977612,-0.004672052804,1227,702,0.5721271394,-0.03432152442,0.0366899592
btc,coin,-3600000,oos_warm,1,5,-0.004672052804,-0.0008994782111,1776,1037,0.5838963964,-0.08252109893,0.03054973377
btc,coin,-3600000,oos_warm,2,5,-0.0008994782111,0.002455149544,2863,1593,0.5564093608,-0.01447793303,0.02423974187
btc,coin,-3600000,oos_warm,3,5,0.002455149544,0.009038214572,2415,1392,0.5763975155,-0.05757483435,0.02621385135
btc,coin,-3600000,oos_warm,4,5,0.009038214572,0.1439563632,1794,1092,0.6086956522,-0.1264889584,0.02985475319
btc,coin,-1800000,is,0,5,-0.06286858767,-0.003086633049,2990,1711,0.5722408027,-0.02920977795,0.02341880595
btc,coin,-1800000,is,1,5,-0.003086633049,-0.0005365303368,3000,1746,0.582,-0.06575410756,0.02336635886
btc,coin,-1800000,is,2,5,-0.0005365303368,0.001602043933,2999,1685,0.5618539513,-0.02128162022,0.02360662734
btc,coin,-1800000,is,3,5,0.001602043933,0.006539083272,2996,1712,0.5714285714,-0.03592287841,0.02347313306
btc,coin,-1800000,is,4,5,0.006539083272,0.1331892014,2997,1793,0.5982649316,-0.09955184922,0.02325299123
btc,coin,-1800000,oos_warm,0,5,-0.06286858767,-0.003086633049,1292,734,0.5681114551,-0.02643313085,0.03581443331
btc,coin,-1800000,oos_warm,1,5,-0.003086633049,-0.0005365303368,1731,1000,0.577700751,-0.06616102527,0.03102805973
btc,coin,-1800000,oos_warm,2,5,-0.0005365303368,0.001602043933,2635,1469,0.5574952562,-0.01657198599,0.0252832228
btc,coin,-1800000,oos_warm,3,5,0.001602043933,0.006539083272,2407,1378,0.5724968841,-0.04879051606,0.02625436479
btc,coin,-1800000,oos_warm,4,5,0.006539083272,0.1331892014,2010,1235,0.6144278607,-0.1424390177,0.0281447397
btc,coin,-300000,is,0,5,-0.02184819989,-0.001225130167,2996,1672,0.5580774366,0.008095118528,0.02346210444
btc,coin,-300000,is,1,5,-0.001225130167,-0.0002226995799,2997,1689,0.5635635636,-0.01993167541,0.02355624707
btc,coin,-300000,is,2,5,-0.0002226995799,0.0004569863086,2994,1783,0.5955243821,-0.1052688328,0.02332028826
btc,coin,-300000,is,3,5,0.0004569863086,0.002804213483,2998,1737,0.5793862575,-0.05790041729,0.02342090696
btc,coin,-300000,is,4,5,0.002804213483,0.06353317201,2997,1766,0.5892559226,-0.07679759127,0.023330864
btc,coin,-300000,oos_warm,0,5,-0.02184819989,-0.001225130167,1257,743,0.5910898966,-0.08407743737,0.03602065268
btc,coin,-300000,oos_warm,1,5,-0.001225130167,-0.0002226995799,1528,871,0.570026178,-0.04470713932,0.03305987709
btc,coin,-300000,oos_warm,2,5,-0.0002226995799,0.0004569863086,2401,1343,0.5593502707,-0.02153567114,0.02645517967
btc,coin,-300000,oos_warm,3,5,0.0004569863086,0.002804213483,2607,1437,0.5512082854,0.003574129031,0.02543527784
btc,coin,-300000,oos_warm,4,5,0.002804213483,0.06353317201,2282,1422,0.6231375986,-0.1663880285,0.02630701581
btc,usdt,-86400000,is,0,5,-0.2559731305,-0.02398818508,2997,1800,0.6006006006,-0.121686597,0.02330773074
btc,usdt,-86400000,is,1,5,-0.02398818508,-0.0005510111223,2991,1666,0.5570043464,-0.004674888097,0.02361422015
btc,usdt,-86400000,is,2,5,-0.0005510111223,0.01831041873,3001,1771,0.5901366211,-0.08739825936,0.0233220079
btc,usdt,-86400000,is,3,5,0.01831041873,0.05035904422,2993,1736,0.5800200468,-0.05235016044,0.02334204095
btc,usdt,-86400000,is,4,5,0.05035904422,0.4344447851,3000,1674,0.558,0.01441285145,0.02347152543
btc,usdt,-86400000,oos_warm,0,5,-0.2559731305,-0.02398818508,1224,661,0.5400326797,0.02274858481,0.03729747301
btc,usdt,-86400000,oos_warm,1,5,-0.02398818508,-0.0005510111223,1714,1016,0.5927654609,-0.1163783102,0.03112517309
btc,usdt,-86400000,oos_warm,2,5,-0.0005510111223,0.01831041873,2440,1404,0.5754098361,-0.05643231323,0.02608672902
btc,usdt,-86400000,oos_warm,3,5,0.01831041873,0.05035904422,2809,1577,0.5614097544,-0.01164005661,0.02432226769
btc,usdt,-86400000,oos_warm,4,5,0.05035904422,0.4344447851,1888,1158,0.6133474576,-0.1345682212,0.02900132464
btc,usdt,-43200000,is,0,5,-0.1996268332,-0.01677660234,2997,1779,0.5935935936,-0.1010388387,0.02334491871
btc,usdt,-43200000,is,1,5,-0.01677660234,0.0002082524326,2996,1755,0.5857810414,-0.08314818838,0.02343355625
btc,usdt,-43200000,is,2,5,0.0002082524326,0.0150420988,2996,1729,0.5771028037,-0.05250807739,0.02342380186
