floor,hold,threshold,segment,num_trades,mean_net_r,se_net_r,mean_cost_r,mean_gross_r,median_stop_width
0.02,12,25.0,is,1319,0.2541211883661101,0.05502867445951245,0.0415227007884236,0.29564388915453366,0.026153632941672517
0.02,12,25.0,oos_warm,293,0.013883217818772465,0.17031466744778662,0.04238197643510187,0.056265194253874336,0.024719593918694625
0.02,16,25.0,full,1612,0.2256448371886926,0.05898552385295175,0.04153384767592792,0.26717868486462054,0.02582062860232526
0.02,16,25.0,is,1319,0.2698092319519747,0.060718212885068346,0.04131784966968127,0.311127081621656,0.026153632941672517
0.02,16,25.0,oos_warm,293,0.026829694892552894,0.17473469380901718,0.04250620730131815,0.06933590219387104,0.024719593918694625
0.02,24,25.0,full,1612,0.20545627342418046,0.05811462032920655,0.04177320492511124,0.2472294783492917,0.02582062860232526
0.02,24,25.0,is,1319,0.24873627833927922,0.05880179045046704,0.04176946511136373,0.29050574345064295,0.026153632941672517
0.02,24,25.0,oos_warm,293,0.010622394642559069,0.17915743703951634,0.04179004046890999,0.052412435111469056,0.024719593918694625
0.03,4,15.0,full,191,0.070940575498187,0.05887499920837762,0.027346797798156155,0.09828737329634316,0.0382488903917873
0.03,4,15.0,is,155,0.09803767793192777,0.06471617201384786,0.027059304608190345,0.1250969825401181,0.03847355528894217
0.03,4,15.0,oos_warm,36,-0.04572750442486359,0.1414635203547267,0.02858461569939778,-0.01714288872546581,0.03698907476970418
0.03,8,15.0,full,191,0.1273147409586886,0.0684258424944814,0.02722408757174789,0.1545388285304365,0.0382488903917873
0.03,8,15.0,is,155,0.16910995875929127,0.07448742086707211,0.02724829521666642,0.1963582539759577,0.03847355528894217
0.03,8,15.0,oos_warm,36,-0.05263689123835063,0.1691176812660269,0.027119860211681956,-0.025517031026668673,0.03698907476970418
0.03,12,15.0,full,191,0.1866658458636069,0.08321186922349544,0.02739854216976927,0.21406438803337619,0.0382488903917873
0.03,12,15.0,is,155,0.23797627165699997,0.09405566262494915,0.02745601170606849,0.26543228336306846,0.03847355528894217
0.03,12,15.0,oos_warm,36,-0.03425404296905741,0.1735472724435423,0.02715110388848098,-0.00710293908057643,0.03698907476970418
0.03,16,15.0,full,191,0.19706270783931257,0.09297314001275651,0.027448091638008886,0.22451079947732144,0.0382488903917873
0.03,16,15.0,is,155,0.24318052465963147,0.10456664717124724,0.027427914400482704,0.27060843906011417,0.03847355528894217
0.03,16,15.0,oos_warm,36,-0.0015001145815050482,0.20107434999720447,0.027534965855135478,0.02603485127363043,0.03698907476970418
0.03,24,15.0,full,191,0.21847689877572182,0.10678362114607587,0.026762271818323722,0.24523917059404554,0.0382488903917873
0.03,24,15.0,is,155,0.2680867400601078,0.12134060617961402,0.027099470506930103,0.2951862105670379,0.03847355528894217
0.03,24,15.0,oos_warm,36,0.004878971023505029,0.2188182377241329,0.025310444131268484,0.03018941515477351,0.03698907476970418
0.03,4,20.0,full,341,0.13394008978531025,0.06380989819222942,0.02852480542635063,0.16246489521166088,0.037040457650899646
0.03,4,20.0,is,287,0.17634181516574893,0.07264882339633341,0.02837274340097746,0.20471455856672638,0.037126576661314054
0.03,4,20.0,oos_warm,54,-0.09141722844035426,0.11152680506057402,0.02933298693157474,-0.06208424150877952,0.034380008515351015
0.03,8,20.0,full,341,0.19454245217183108,0.07020156812507666,0.028042905630877482,0.22258535780270855,0.037040457650899646
0.03,8,20.0,is,287,0.24616170795150696,0.0793685947995327,0.028254162618774815,0.2744158705702818,0.037126576661314054
0.03,8,20.0,oos_warm,54,-0.07980433317570522,0.1314970280193306,0.026920113861867618,-0.052884219313837605,0.034380008515351015
0.03,12,20.0,full,341,0.27779552234511473,0.09532781571307673,0.028352283260241605,0.3061478056053563,0.037040457650899646
0.03,12,20.0,is,287,0.3403541869862939,0.109968896690594,0.028615652966747042,0.36896983995304095,0.037126576661314054
0.03,12,20.0,oos_warm,54,-0.05469219528485579,0.13719368410126703,0.02695252204233316,-0.02773967324252263,0.034380008515351015
0.03,16,20.0,full,341,0.29888328706333694,0.09863712373510423,0.02846030323647496,0.3273435902998119,0.037040457650899646
0.03,16,20.0,is,287,0.35322198235762264,0.11315069992762714,0.02866310191271095,0.3818850842703336,0.037126576661314054
0.03,16,20.0,oos_warm,54,0.010083184295559601,0.15834482995245094,0.027382465827591043,0.037465650123150646,0.034380008515351015
0.03,24,20.0,full,341,0.2560995439113019,0.09387150071267246,0.028078547451378884,0.2841780913626808,0.037040457650899646
0.03,24,20.0,is,287,0.30804837014325165,0.10633243193636434,0.028570981232822135,0.3366193513760738,0.037126576661314054
0.03,24,20.0,oos_warm,54,-0.01999884735850502,0.17603515744799297,0.025461353094448917,0.0054625057359438955,0.034380008515351015
0.03,4,25.0,full,529,0.2418154109374418,0.06747345679063127,0.02903993167938347,0.27085534261682526,0.036747794104411965
0.03,4,25.0,is,461,0.28817238922745764,0.07571274510139185,0.028931632501086692,0.31710402172854435,0.036941355152724044
0.03,4,25.0,oos_warm,68,-0.07245763305810704,0.1029533424868802,0.02977413640283663,-0.04268349665527041,0.03415804595697226
