segment,axis,bucket,arm,category,num_trades,trade_share,net_r_sum,gain_share,loss_share,win_rate
is,timeframe,2h,2_교차,트리거 전에 이미 익절,293,0.09865319865319866,429.2458596325538,0.23964278817425577,0.0,1.0
is,timeframe,2h,2_교차,트리거 전에 이미 손절,69,0.023232323232323233,-75.35325604173991,0.0,0.040128994362177185,0.0
is,timeframe,2h,2_교차,아직 들고 있음,1389,0.4676767676767677,381.87423517680986,0.6011871608098319,0.37010084836515944,0.5262778977681786
is,timeframe,2h,2_교차,트리거 안 옴,1219,0.41043771043771043,-822.3522856346897,0.15917005101591186,0.589770157272663,0.15914684167350288
is,timeframe,2h,C_고정오프셋,트리거 전에 이미 익절,70,0.02356902356902357,98.63937593482775,0.055069174325934486,0.0,1.0
is,timeframe,2h,C_고정오프셋,트리거 전에 이미 손절,119,0.040067340067340064,-131.66333764871163,0.0,0.07011664275375065,0.0
is,timeframe,2h,C_고정오프셋,아직 들고 있음,2135,0.7188552188552189,604.0449548057769,0.9294165943934769,0.564879522462085,0.5283372365339578
is,timeframe,2h,C_고정오프셋,트리거 안 옴,646,0.2175084175084175,-657.6064399589604,0.01551423128058827,0.3650038347841637,0.030959752321981424
is,timeframe,4h,1_봉마감,트리거 전에 이미 익절,199,0.14183891660727013,294.3069625580539,0.3367957102612433,0.0,1.0
is,timeframe,4h,1_봉마감,트리거 전에 이미 손절,4,0.002851033499643621,-4.125324359493795,0.0,0.004832210508665574,0.0
is,timeframe,4h,1_봉마감,아직 들고 있음,417,0.2972202423378475,160.87057203125926,0.39932240251068823,0.22030216088477583,0.5635491606714629
is,timeframe,4h,1_봉마감,트리거 안 옴,783,0.5580898075552387,-430.9217657880546,0.2638818872280692,0.7748656286065573,0.20051085568326948
is,timeframe,4h,2_교차,트리거 전에 이미 익절,127,0.09052031361368496,187.57468444551586,0.21465461953654782,0.0,1.0
is,timeframe,4h,2_교차,트리거 전에 이미 손절,32,0.022808267997148968,-34.12855074385808,0.0,0.03997657570136706,0.0
is,timeframe,4h,2_교차,아직 들고 있음,641,0.4568781183178902,216.26598408902797,0.5937180491730052,0.3543940538333491,0.5460218408736349
is,timeframe,4h,2_교차,트리거 안 옴,603,0.42979330007127586,-349.58167334892124,0.19162733129044804,0.6056293704652814,0.1890547263681592
is,timeframe,4h,C_고정오프셋,트리거 전에 이미 익절,17,0.012116892373485389,24.015163508156217,0.027482204228090303,0.0,1.0
is,timeframe,4h,C_고정오프셋,트리거 전에 이미 손절,49,0.03492516037063435,-53.13865050040306,0.0,0.062244110520284786,0.0
is,timeframe,4h,C_고정오프셋,아직 들고 있음,1122,0.7997148966500356,268.0368628446429,0.9645206616378297,0.6732981705118782,0.5071301247771836
