symbol,timeframe,segment,arm,lens,num_candidates,num_trades,win_rate,total_return,max_drawdown
DOGE/USDT:USDT,2h,full,off,baseline,140,116,0.5948275862068966,0.4829023245505228,0.0708308549632522
DOGE/USDT:USDT,2h,full,freeze,baseline,221,155,0.6064516129032258,0.7405892060354788,0.0538523779938636
DOGE/USDT:USDT,2h,full,band,baseline,208,143,0.6153846153846154,0.7093419906175256,0.0671016277774866
DOGE/USDT:USDT,2h,is,off,baseline,78,66,0.6515151515151515,0.3776818127714689,0.0316921130680497
DOGE/USDT:USDT,2h,is,freeze,baseline,126,94,0.6595744680851063,0.5713136802297771,0.0377752033378541
DOGE/USDT:USDT,2h,is,band,baseline,120,87,0.6666666666666666,0.5533457032151651,0.037775203337854
DOGE/USDT:USDT,2h,oos_warm,off,baseline,62,50,0.52,0.0763750459675322,0.0708308549632525
DOGE/USDT:USDT,2h,oos_warm,freeze,baseline,95,61,0.5245901639344263,0.1077286654698693,0.0538523779938628
DOGE/USDT:USDT,2h,oos_warm,band,baseline,88,56,0.5357142857142857,0.1004259947283302,0.0671016277774865
DOGE/USDT:USDT,2h,oos,off,baseline,56,45,0.4888888888888889,0.0362235404095785,0.0708308549632525
DOGE/USDT:USDT,2h,oos,freeze,baseline,76,53,0.4716981132075472,0.0300618153205869,0.066246886432937
DOGE/USDT:USDT,2h,oos,band,baseline,70,49,0.4897959183673469,0.0368253655843756,0.0671016277774865
DOGE/USDT:USDT,4h,full,off,baseline,82,63,0.5873015873015873,0.2548636693371625,0.0430105079658106
DOGE/USDT:USDT,4h,full,freeze,baseline,134,86,0.627906976744186,0.4674852480785874,0.0310190189510132
DOGE/USDT:USDT,4h,full,band,baseline,126,74,0.6216216216216216,0.3812787124028254,0.0430353556375471
DOGE/USDT:USDT,4h,is,off,baseline,50,41,0.5853658536585366,0.1722466419028503,0.0430105079658106
DOGE/USDT:USDT,4h,is,freeze,baseline,80,52,0.6153846153846154,0.2607694884038768,0.0310190189510132
DOGE/USDT:USDT,4h,is,band,baseline,75,46,0.6086956521739131,0.229590197845184,0.0430353556375471
DOGE/USDT:USDT,4h,oos_warm,off,baseline,32,22,0.5909090909090909,0.070477512565277,0.0268721582411359
DOGE/USDT:USDT,4h,oos_warm,freeze,baseline,54,34,0.6470588235294118,0.1639599955233779,0.0213986518624266
DOGE/USDT:USDT,4h,oos_warm,band,baseline,51,28,0.6428571428571429,0.1233650974312182,0.0218282662288355
