scope,universe,symbol,timeframe,segment,scenario,leverage,num_trades,total_return,max_drawdown,win_rate,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,skipped_zone,liquidations
series,15m,ETH/USDT:USDT,15m,oos,peak_N,5.0,309,0.8908476389132746,0.12812786252573322,0.5501618122977346,32.331774075515376,5,4.56414535016113,0.04958357931158734,0.0,0.0,69.0,0.0
series,1h,ETH/USDT:USDT,1h,is,single,1.0,148,0.16554634900370874,0.12076368717392584,0.5135135135135135,9.257415467040262,1,,,,,,
series,1h,ETH/USDT:USDT,1h,is,lev_1,1.0,156,0.1858251203909518,0.12076368717392634,0.5128205128205128,9.792384203428215,3,1.0000000000000002,0.029970051856505264,63.0,1.0,35.0,0.0
series,1h,ETH/USDT:USDT,1h,is,lev_2,2.0,156,0.2573528414776061,0.13605471512014544,0.5128205128205128,11.864017221423683,3,2.0,0.02993438579934973,20.0,1.0,35.0,0.0
series,1h,ETH/USDT:USDT,1h,is,lev_3,3.0,157,0.28351745461784666,0.13289232287363664,0.5159235668789809,12.616556767565614,3,3.0,0.029898974010332473,4.0,0.0,35.0,0.0
series,1h,ETH/USDT:USDT,1h,oos,single,1.0,78,0.1651519169165271,0.07260688603759634,0.5512820512820513,16.688993440327508,1,,,,,,
series,1h,ETH/USDT:USDT,1h,oos,lev_1,1.0,83,0.13460126766311278,0.09178792465903728,0.5301204819277109,13.142026117862276,3,1.0,0.029999999999999995,30.0,0.0,20.0,0.0
series,1h,ETH/USDT:USDT,1h,oos,lev_2,2.0,83,0.18158636789163374,0.08728926750126727,0.5301204819277109,15.940445898611044,3,2.0,0.03,9.0,0.0,20.0,0.0
series,1h,ETH/USDT:USDT,1h,oos,lev_3,3.0,83,0.19340890435426464,0.08604051752561094,0.5301204819277109,16.6415766432695,3,2.9999999999999996,0.029999999999999995,1.0,0.0,20.0,0.0
series,4h,ETH/USDT:USDT,4h,is,single,1.0,30,0.050835802423045605,0.04005625124545562,0.5,6.4917125400780025,1,,,,,,
series,4h,ETH/USDT:USDT,4h,is,lev_1,1.0,30,0.050835802423045605,0.04005625124545562,0.5,6.4917125400780025,1,1.0,0.01,3.0,0.0,3.0,0.0
series,4h,ETH/USDT:USDT,4h,is,lev_2,2.0,30,0.05430130598271917,0.04226031554656855,0.5,6.792141274435888,1,1.887615464201523,0.010000000000000002,0.0,0.0,3.0,0.0
series,4h,ETH/USDT:USDT,4h,is,lev_3,3.0,30,0.05430130598271917,0.04226031554656855,0.5,6.792141274435888,1,1.887615464201523,0.010000000000000002,0.0,0.0,3.0,0.0
series,4h,ETH/USDT:USDT,4h,oos,single,1.0,17,0.02992717574248272,0.030733506926514925,0.5294117647058824,6.9537515572558215,1,,,,,,
series,4h,ETH/USDT:USDT,4h,oos,lev_1,1.0,18,0.01918540742411424,0.03073350692651506,0.5,4.341158700648142,2,1.0,0.02,3.0,0.0,3.0,0.0
series,4h,ETH/USDT:USDT,4h,oos,lev_2,2.0,18,0.02908559722248283,0.030733506926515167,0.5,6.2424378796556255,2,2.0,0.02,1.0,0.0,3.0,0.0
series,4h,ETH/USDT:USDT,4h,oos,lev_3,3.0,18,0.032438736899912876,0.0307335069265151,0.5,6.853771236629978,2,2.7584967586781786,0.02,0.0,0.0,3.0,0.0
