segment,symbol,timeframe,reason,exit_ms,is_long,stop_price,exit_price,quantity,notional,bar_high,bar_low,bar_range_bp,adverse_bp,charged_slippage_bp
full,ETH/USDT:USDT,15m,stop_loss,1600442820000,True,381.69,381.49915500000003,25.98430302877824,9917.948623054366,382.77,379.36,89.48604568774273,61.04430296837707,4.999999999999149
full,BTC/USDT:USDT,15m,stop_loss,1600442820000,True,10870.63,10865.194685,0.9155468418690063,9952.570965626475,10898.44,10861.96,33.52879542655593,7.975618708391393,4.999999999998905
full,LINK/USDT:USDT,15m,stop_loss,1600443060000,True,10.514,10.508742999999999,574.2598364967375,6037.767920926698,10.537,10.5,35.17611826781462,13.315579227695784,5.000000000000275
full,SOL/USDT:USDT,15m,stop_loss,1600442160000,True,2.908,2.906546,1755.519097919698,5105.049536750482,2.92,2.9008,65.97031335898882,24.75928473177474,4.999999999999464
full,XRP/USDT:USDT,15m,stop_loss,1600442820000,True,0.2489,0.24877555,39924.019332863216,9937.088411949655,0.2494,0.2487,28.1068058622769,8.035355564483957,4.999999999999926
full,TRX/USDT:USDT,15m,stop_loss,1600443000000,True,0.02822,0.02820589,135537.3740651413,3824.8646961182876,0.02834,0.02819,53.06916681408131,10.630758327426925,4.999999999999198
full,BCH/USDT:USDT,15m,stop_loss,1600450080000,True,231.94,231.82403000000002,42.728323432283496,9910.407336883834,232.36,231.22,49.18244963113226,31.042510994222596,4.999999999998963
full,ETH/USDT:USDT,1h,stop_loss,1600604280000,True,374.15,373.962925,14.585368599976643,5457.1156616812605,375.91,370.0,158.46415787427503,110.91808098356213,4.9999999999998135
full,BNB/USDT:USDT,15m,stop_loss,1600448700000,True,27.225,27.211387500000004,147.86017623958577,4025.493298122723,27.301,27.02,103.45906739566605,75.29843893480324,4.999999999998949
full,BCH/USDT:USDT,15m,stop_loss,1600450200000,True,231.14,231.02443,43.09668692581584,9961.368216033072,231.54,230.32,52.82986186290212,35.476334688932816,4.9999999999996145
full,ETH/USDT:USDT,15m,stop_loss,1600450200000,True,378.4,378.2108,26.322370292641523,9960.384918735552,379.69,377.4,60.49478925887333,26.427061310782243,4.999999999999238
full,DOT/USDT:USDT,15m,stop_loss,1600529580000,True,5.086,5.083457000000001,1237.847651498151,6295.693155519596,5.11,5.065,88.4520884520883,41.289815178922346,4.999999999998615
full,TRX/USDT:USDT,15m,stop_loss,1600504020000,True,0.02772,0.027706140000000004,219474.4027004131,6083.830442855452,0.0278,0.02766,50.486837360258846,21.645021645022013,4.999999999999092
full,SOL/USDT:USDT,15m,stop_loss,1600504080000,True,3.0276,3.0260862000000004,3274.6256600482398,9914.25664836205,3.038,3.0273,35.28267356932034,0.9908838684112465,4.9999999999989315
full,DOT/USDT:USDT,15m,stop_loss,1600538700000,True,4.989,4.9865055,1098.7103338101724,5481.46585537895,5.003,4.92,167.288118512547,138.30426939266377,5.000000000000132
full,SOL/USDT:USDT,1h,stop_loss,1600607100000,True,2.7989,2.7975005500000005,594.5104205491429,1663.975216074996,2.8203,2.7526,242.96147427730577,165.42213012254814,4.999999999998698
full,TRX/USDT:USDT,15m,stop_loss,1600607100000,True,0.02682,0.02680659,281346.18522707594,7545.704687790177,0.02699,0.02671,104.28305400372402,41.01416853094668,4.999999999999412
full,LTC/USDT:USDT,15m,stop_loss,1600570680000,True,47.96,47.936020000000006,207.55657878181475,9954.413518375835,48.05,47.91,29.178824510212706,10.425354462052598,4.999999999998866
full,XRP/USDT:USDT,15m,stop_loss,1600604100000,True,0.2473,0.24717635000000002,20234.00882531,5003.870382499163,0.2482,0.247,48.46526655896634,12.131014961584906,4.999999999998996
full,LTC/USDT:USDT,15m,stop_loss,1600604220000,True,47.46,47.43627,185.32314797312142,8795.436602804342,47.68,47.45,48.35488279196822,2.1070375052671744,5.0000000000000995
full,ETH/USDT:USDT,15m,stop_loss,1600604100000,True,376.67,376.481665,26.404332232721558,9945.71982209923,377.88,375.1,73.83994262795751,41.68104707037972,4.999999999999868
full,DOGE/USDT:USDT,15m,stop_loss,1600603920000,True,0.002776,0.002774612,3591378.0206584577,9969.665385347878,0.002776,0.002775,3.602954422625469,3.602305475503239,4.999999999999051
full,XRP/USDT:USDT,1h,stop_loss,1600604100000,True,0.2473,0.24717635000000002,4446.11934327543,1099.5253135920138,0.2482,0.247,48.46526655896634,12.131014961584906,4.999999999998996
full,BTC/USDT:USDT,15m,stop_loss,1600604160000,True,10880.0,10874.560000000001,0.9160367257524701,9966.479576186874,10907.55,10827.1,74.02925742995531,48.621323529411434,4.9999999999987965
full,DOGE/USDT:USDT,15m,stop_loss,1600604220000,True,0.002754,0.002752623,3610689.9241314614,9943.840051058045,0.002762,0.002754,29.006526468456105,0.0,4.999999999999596
full,ADA/USDT:USDT,15m,stop_loss,1600604280000,True,0.09048,0.09043476,67360.4887326511,6094.777020530271,0.0909,0.08964,139.5812562313058,92.83819628647296,5.000000000000215
full,BNB/USDT:USDT,15m,stop_loss,1600604280000,True,26.685,26.6716575,372.21251628457674,9932.49099705393,26.856,26.519,126.2763466042167,62.20723252763739,5.000000000000097
full,ADA/USDT:USDT,15m,stop_loss,1600604280000,True,0.08967,0.089625165,106596.39832089335,9558.499037434507,0.0909,0.08964,139.5812562313058,3.345600535296336,4.999999999999228
full,SOL/USDT:USDT,15m,stop_loss,1600604280000,True,2.8886,2.8871557,3430.551880290974,9909.492161408507,2.9176,2.8838,116.52359775226763,16.617046320016325,4.999999999999072
full,SOL/USDT:USDT,15m,stop_loss,1600604280000,True,2.8886,2.8871557,3430.551880290974,9909.492161408507,2.9176,2.8838,116.52359775226763,16.617046320016325,4.999999999999072
full,BNB/USDT:USDT,15m,stop_loss,1600606020000,True,26.374,26.360813,375.8646766887224,9913.054982988364,26.57,26.25,121.16622491480511,47.016000606657606,4.999999999999433
full,ADA/USDT:USDT,15m,stop_loss,1600606980000,True,0.08955,0.08950522500000001,110818.00487608089,9923.752336653044,0.08989,0.08909,89.39546318024306,51.36795086543853,4.999999999999653
full,XRP/USDT:USDT,15m,stop_loss,1600619040000,True,0.2425,0.24237875,37749.809363462686,9154.3287706397,0.2431,0.2425,24.711696869852435,0.0,4.999999999999564
full,SOL/USDT:USDT,15m,stop_loss,1600607100000,True,2.8004,2.7989998,1822.4582994204281,5103.612221696967,2.8203,2.7526,242.96147427730577,170.6899014426497,4.999999999999867
