scope,leverage_mode,multiple,segment,month,monthly_return,equity_end,num_exits
1h,combined,3.0,is,2021-10,0.25262560388468036,1404099.9028107172,31
1h,combined,3.0,is,2021-11,0.2287968003549603,1725353.4679525201,31
1h,combined,3.0,is,2021-12,0.1650625434527888,2010144.6997278528,38
1h,combined,3.0,is,2022-01,0.3090923102956311,2631464.9689952526,44
1h,combined,3.0,is,2022-02,0.056902860574560066,2781202.8532328284,35
1h,combined,3.0,is,2022-03,0.199674165222973,3336537.211267844,16
1h,combined,3.0,is,2022-04,0.04086351223673956,3472879.8404288245,22
1h,combined,3.0,is,2022-05,0.5810612359375908,5490835.6927711405,40
1h,combined,3.0,is,2022-06,0.4521888520894115,7973730.381696891,58
1h,combined,3.0,is,2022-07,0.011518133651750473,8065572.873936299,30
1h,combined,3.0,is,2022-08,0.1590158837063207,9348127.07208301,30
1h,combined,3.0,is,2022-09,-0.016324676262462035,9195521.923970897,30
1h,combined,3.0,is,2022-10,0.1747910160903663,10802816.54454301,22
1h,combined,3.0,is,2022-11,1.313581334359312,24993194.715962667,37
1h,combined,3.0,is,2022-12,0.15915156001656783,28970900.644805968,18
1h,combined,3.0,is,2023-01,0.6918637204212466,49014815.748875715,20
1h,combined,3.0,is,2023-02,-0.043407882917088636,46887186.36564585,13
1h,combined,3.0,is,2023-03,0.43647912117688903,67352464.26497996,30
1h,combined,3.0,is,2023-04,0.4403182419704965,97008982.92251663,22
1h,combined,3.0,is,2023-05,0.09781141193640286,106497568.51268238,7
1h,combined,3.0,is,2023-06,0.23644162625929432,131678026.80448161,25
1h,combined,3.0,is,2023-07,0.05363585794909542,138740690.74518397,13
1h,combined,3.0,is,2023-08,0.12301755488776966,155808231.28409672,16
1h,combined,3.0,is,2023-09,0.16496617433132932,181511319.1283651,32
1h,combined,3.0,is,2023-10,0.39643746003530933,253469205.4512726,21
1h,combined,3.0,is,2023-11,0.12014641803806492,283922622.56919736,24
1h,combined,3.0,is,2023-12,0.2631587351500648,358639340.8049966,8
1h,combined,3.0,is,2024-01,0.024270978120304987,367343868.39875525,15
1h,combined,3.0,is,2024-02,0.17965442586259628,433338820.17007875,14
1h,combined,3.0,is,2024-03,0.33191870512723876,577172080.2422967,19
1h,combined,3.0,is,2024-04,0.6868488670257487,973602069.6356127,37
1h,combined,3.0,is,2024-05,0.7129692323444194,1667750389.8326535,33
1h,combined,3.0,is,2024-06,-0.03286736064496454,1612935836.3042436,21
1h,combined,3.0,is,2024-07,0.22797596739081682,1980646443.9250197,28
1h,combined,3.0,is,2024-08,0.03194973946384816,2043927581.7784216,18
1h,combined,5.0,is,2020-09,0.10065417714252045,11006.541771425205,3
1h,combined,5.0,is,2020-10,0.25980251255404796,13866.068978172556,26
1h,combined,5.0,is,2020-11,0.1391783291953057,15795.925291061472,13
1h,combined,5.0,is,2020-12,1.2688741883519157,35838.9671740246,30
1h,combined,5.0,is,2021-01,1.6016802419998037,93241.53279033933,39
1h,combined,5.0,is,2021-02,0.8791649384596727,175216.21922784357,22
1h,combined,5.0,is,2021-03,0.5129869181093691,265099.84753231064,31
1h,combined,5.0,is,2021-04,0.4712135176037995,390018.47920424165,27
1h,combined,5.0,is,2021-05,1.899058253593929,1130686.2911912089,50
1h,combined,5.0,is,2021-06,0.6438842871227135,1858717.4277542853,39
1h,combined,5.0,is,2021-07,0.4705269678663526,2733294.1031558556,24
1h,combined,5.0,is,2021-08,1.296733286718783,6277647.549110216,48
1h,combined,5.0,is,2021-09,2.042951688057336,19102578.20659393,36
1h,combined,5.0,is,2021-10,0.42809357740469056,27280269.248707604,31
1h,combined,5.0,is,2021-11,0.38458299278212027,37771796.84027762,31
1h,combined,5.0,is,2021-12,0.2592094310242725,47562602.8080104,38
1h,combined,5.0,is,2022-01,0.5245988745542849,72513890.71196513,44
1h,combined,5.0,is,2022-02,0.07021079242092276,77605148.44037639,35
1h,combined,5.0,is,2022-03,0.34387090198315495,104291300.83310525,16
1h,combined,5.0,is,2022-04,0.05600105259694188,110131723.45646346,22
1h,combined,5.0,is,2022-05,1.0890015977802014,230065346.26683944,40
1h,combined,5.0,is,2022-06,0.786619768256472,411039295.63110566,58
1h,combined,5.0,is,2022-07,0.002727881662189846,412160562.1880972,30
