scope,arm,width_label,width_threshold,guard,reentry,segment,num_cells,num_symbols,num_trades,win_rate,total_return,mean_net_r,max_drawdown,peak_concurrency,liquidation_events,symbols_below_gate,min_symbol_trades,adopted_point,exclude
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,39021,0.3878936982650368,-1.0000000000000002,-0.1550067581018293,1.0000000000000002,14,0,0,2492,False,-DOGE
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,12585,0.3908621374652364,-0.9999978614992026,-0.1605719865833838,0.9999981022834518,12,0,0,556,False,-DOGE
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,38951,0.3901055171882622,-0.9999999999999998,-0.1493940761950345,0.9999999999999998,15,0,0,2496,False,-DOT
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,12617,0.3878100974875168,-0.9999988271573998,-0.1677999969683854,0.9999989813100768,12,0,0,552,False,-DOT
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,39385,0.3892344801320299,-1.0,-0.1500146211289712,1.0,15,0,0,2496,False,-ETH
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,12634,0.3870508152604084,-0.9999990817690994,-0.1683816980562751,0.9999992022070132,12,0,0,554,False,-ETH
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,39009,0.3910379655976826,-1.0,-0.1473036569304248,1.0,14,0,0,2495,False,-LINK
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,12641,0.3926904517047702,-0.999995720932614,-0.1554025467984821,0.9999963724046076,11,0,0,555,False,-LINK
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,38993,0.3912240658579745,-1.0,-0.1456572021343481,1.0,14,0,0,2502,False,-LTC
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,12706,0.3900519439634818,-0.9999981068687168,-0.1615975884031492,0.9999984328680817,12,0,0,556,False,-LTC
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,38802,0.3876604298747487,-0.9999999999999998,-0.1564486708681292,0.9999999999999998,15,0,0,2499,False,-SOL
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,12495,0.3887154861944777,-0.9999987853748228,-0.1652504394964302,0.9999989569155244,12,0,0,555,False,-SOL
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,40283,0.3893453814264082,-1.0000000000000002,-0.1498120945742491,1.0000000000000002,15,0,0,2991,False,-TRX
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,13337,0.3894429032016195,-0.999999389636353,-0.1618465775082335,0.9999994947749196,13,0,0,858,False,-TRX
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,44,11,39129,0.389250939201104,-1.0,-0.1507737052122673,1.0,14,0,0,2489,False,-XRP
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,44,11,12831,0.3899929857376666,-0.9999984894533854,-0.1613434762991808,0.9999987698385,12,0,0,555,False,-XRP
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,full,36,9,31685,0.3897427804955026,-0.9999999999999732,-0.1509060151937573,0.999999999999977,13,0,0,2517,False,-new3
15m+1h+2h+4h,proximal,1.28,1.28,0.003,True,oos_warm,36,9,10217,0.3885680728198101,-0.999980787753611,-0.16755988816669,0.99998311110571,10,0,0,557,False,-new3
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,full,44,11,33534,0.3907377586926701,-0.9999999999999886,-0.1503911235715369,0.99999999999999,13,0,0,2137,False,-ADA
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,oos_warm,44,11,10929,0.3896971360600237,-0.9999901743318717,-0.1664826465786963,0.999991448426412,10,0,0,479,False,-ADA
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,full,44,11,33713,0.3903538694272239,-0.9999999999999952,-0.15117663609688,0.9999999999999958,13,0,0,2133,False,-BCH
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,oos_warm,44,11,10997,0.3871965081385832,-0.999995448479884,-0.1727664510821462,0.9999959281118228,11,0,0,476,False,-BCH
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,full,44,11,34280,0.3901108518086347,-0.9999999999999974,-0.15080724847705,0.9999999999999978,12,0,0,2137,False,-BNB
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,oos_warm,44,11,11316,0.3902439024390244,-0.9999935359614937,-0.1628334788120989,0.99999424630914,11,0,0,479,False,-BNB
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,full,44,11,34411,0.3888291534683676,-0.9999999999999992,-0.1528717310996959,0.9999999999999992,13,0,0,2146,False,-BTC
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,oos_warm,44,11,11335,0.3859726510807234,-0.999997116514011,-0.1733493883078937,0.9999973881218864,11,0,0,479,False,-BTC
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,full,44,11,33651,0.389111764880687,-0.9999999999999976,-0.155018996012219,0.999999999999998,13,0,0,2135,False,-DOGE
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,oos_warm,44,11,10911,0.389056915039868,-0.9999925503836236,-0.168676982699162,0.9999930884514756,11,0,0,477,False,-DOGE
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,full,44,11,33519,0.3912407888063486,-0.99999999999999,-0.1496134894617011,0.999999999999991,13,0,0,2137,False,-DOT
15m+1h+2h+4h,proximal,1.15,1.15,0.003,True,oos_warm,44,11,10922,0.3853689800402856,-0.9999959071773632,-0.1774851680517026,0.99999620124583,10,0,0,477,False,-DOT
