scope,arm,fill,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
2h,long_only,baseline,is,ETH,8,8,761,0.6228646517739816,25.572282254971505,0.1107909072175876,230.81571310494684,5,0.05,0
2h,long_only,baseline,oos_warm,ETH,8,8,404,0.5618811881188119,1.5910134984076962,0.0915420266373216,17.38014283549892,6,0.0555572780059331,0
2h,long_only,baseline,oos,ETH,8,8,384,0.5520833333333334,1.2386535682049824,0.0915420266373215,13.530982584779109,5,0.049484156811794,0
2h,long_only,baseline,full,SOL,8,8,1143,0.5993000874890638,49.31187310037577,0.1008250049932526,489.083765517054,5,0.049484156811794,0
2h,long_only,baseline,is,SOL,8,8,735,0.617687074829932,18.84641654189298,0.0951080569378527,198.15793896628497,4,0.0402220221919922,0
2h,long_only,baseline,oos_warm,SOL,8,8,408,0.5661764705882353,1.5783340534301329,0.1008250049932519,15.654192663176836,5,0.049484156811794,0
2h,long_only,baseline,oos,SOL,8,8,391,0.5549872122762148,1.2431651250105835,0.1036057764767094,11.998994334935045,5,0.049484156811794,0
2h,long_only,baseline,full,DOGE,8,8,1175,0.6,63.82735572012563,0.0882824528088025,722.9902850384047,5,0.0499999999999999,0
2h,long_only,baseline,is,DOGE,8,8,764,0.612565445026178,21.583544250764227,0.0882824528088025,244.48283395012524,5,0.0499999999999999,0
2h,long_only,baseline,oos_warm,DOGE,8,8,411,0.5766423357664233,1.9375771478159216,0.0809157000915542,23.945626690785577,5,0.0455572780059331,0
2h,long_only,baseline,oos,DOGE,8,8,392,0.5714285714285714,1.6313215285395748,0.0915420266373214,17.820465511460377,4,0.039484156811794,0
2h,long_short,baseline,full,,9,9,2470,0.5769230769230769,972.1505885342708,0.102851754927345,9451.959173871195,6,0.05,0
2h,long_short,baseline,is,,9,9,1625,0.5913846153846154,273.8008985405426,0.102851754927345,2662.0926277238236,5,0.05,0
2h,long_short,baseline,oos_warm,,9,9,845,0.5491124260355029,4.392497272536136,0.1067297534862479,41.15532107082125,6,0.0555572780059331,0
2h,long_short,baseline,oos,,9,9,759,0.5428194993412385,2.8650062837659696,0.1067297534862478,26.84355758523444,5,0.049484156811794,0
2h,long_short,baseline,full,ETH,8,8,2215,0.5774266365688487,573.1088812295927,0.1178706451420805,4862.184987099807,6,0.05,0
2h,long_short,baseline,is,ETH,8,8,1471,0.5934738273283481,184.986938867011,0.1178706451420805,1569.4063491722547,5,0.05,0
2h,long_short,baseline,oos_warm,ETH,8,8,744,0.5456989247311828,3.2064626600282535,0.1152087960889139,27.831752165465073,6,0.0555572780059331,0
2h,long_short,baseline,oos,ETH,8,8,673,0.537890044576523,2.102735938881567,0.115208796088914,18.251522542243652,5,0.049484156811794,0
2h,long_short,baseline,full,SOL,8,8,2118,0.5745986779981114,343.57292446820634,0.1071980762618797,3205.028825600137,5,0.0433218803713241,0
2h,long_short,baseline,is,SOL,8,8,1382,0.5882778581765558,96.62893321586256,0.1000628023063157,965.6828610501902,4,0.0402220221919922,0
2h,long_short,baseline,oos_warm,SOL,8,8,736,0.5489130434782609,3.1296367619380523,0.1138059272834868,27.499769446473813,5,0.049484156811794,0
2h,long_short,baseline,oos,SOL,8,8,663,0.5414781297134238,2.0709385748376388,0.1138059272834872,18.19710646246914,5,0.049484156811794,0
2h,long_short,baseline,full,DOGE,8,8,2210,0.5751131221719457,512.1133469502353,0.1095900178948548,4672.992639179765,5,0.0499999999999999,0
2h,long_short,baseline,is,DOGE,8,8,1467,0.5855487389229721,133.97885260295428,0.1095900178948548,1222.5461330930625,5,0.0499999999999999,0
2h,long_short,baseline,oos_warm,DOGE,8,8,743,0.5545087483176312,3.781215124030083,0.1218121269200559,31.04136853723649,5,0.0455572780059331,0
2h,long_short,baseline,oos,DOGE,8,8,673,0.549777117384844,2.6542416225747556,0.1218121269200563,21.78963367347405,4,0.039484156811794,0
4h,long_only,baseline,full,,9,9,665,0.6,13.835232800097176,0.0850702085534301,162.63311252384744,7,0.07,0
4h,long_only,baseline,is,,9,9,407,0.6240786240786241,5.749320140272773,0.0850702085534301,67.58323786948036,7,0.07,0
4h,long_only,baseline,oos_warm,,9,9,258,0.562015503875969,1.1980336525417166,0.0727644192704554,16.46455320544494,5,0.0491678799626993,0
4h,long_only,baseline,oos,,9,9,236,0.538135593220339,0.8109315021038299,0.0746651953440786,10.860903776743964,5,0.0453537529472806,0
4h,long_only,baseline,full,ETH,8,8,584,0.6044520547945206,10.34908333427054,0.0844955533753025,122.4808042655592,6,0.06,0
4h,long_only,baseline,is,ETH,8,8,359,0.6295264623955432,4.673431339691516,0.0844955533753025,55.30979031445136,6,0.06,0
4h,long_only,baseline,oos_warm,ETH,8,8,225,0.5644444444444444,1.0003914130187768,0.0647293496407734,15.454989406978749,4,0.0401072341128049,0
